dt,open,high,low,close,value,volume
2020-03-02,4.95,4.95,4.9,4.95,118180.0,
2020-03-03,4.95,5.05,4.9,5.05,90470.0,
2020-03-04,4.91,5.07,4.91,5.05,21485.0,
2020-03-05,4.91,5.14,4.91,5.05,177647.0,
2020-03-06,4.95,5.11,4.9,4.9,724256.0,
2020-03-09,4.88,4.9,4.01,4.9,230320.0,
2020-03-10,4.0,4.6,3.71,4.5,878200.0,
2020-03-11,4.07,4.9,4.07,4.9,521210.0,
2020-03-12,4.16,4.74,4.14,4.14,408920.0,
2020-03-13,4.01,4.14,3.71,4.07,988720.0,
2020-03-16,3.81,4.07,3.8,4.07,184740.0,
2020-03-19,3.85,3.95,3.6,3.72,189950.0,
2020-03-20,3.62,3.71,3.55,3.55,258480.0,
2020-03-23,3.4,3.59,3.39,3.39,218570.0,
2020-03-24,3.29,3.3,3.04,3.2,424690.0,
2020-03-25,3.2,3.5,3.1,3.12,397770.0,
2020-03-26,3.35,3.46,3.25,3.37,634450.0,
2020-03-27,3.26,3.45,3.26,3.45,416760.0,
2020-03-30,3.35,3.5,3.27,3.45,1193440.0,
2020-03-31,3.49,3.68,3.36,3.61,949070.0,
2020-04-01,3.51,3.64,3.32,3.55,461910.0,
2020-04-02,3.55,3.55,3.41,3.54,307220.0,
2020-04-03,3.6,3.6,3.41,3.54,310640.0,
2020-04-06,3.54,3.6,3.41,3.57,234870.0,
2020-04-07,3.42,3.59,3.39,3.59,301940.0,
2020-04-08,3.58,3.58,3.5,3.5,24830.0,
2020-04-13,3.5,3.59,3.5,3.5,133690.0,
2020-04-14,3.5,3.5,3.45,3.5,304250.0,
2020-04-15,3.56,3.59,3.55,3.59,214240.0,
2020-04-16,3.61,3.69,3.51,3.66,343090.0,
2020-04-17,3.55,3.69,3.55,3.61,314830.0,
2020-04-20,3.61,4.03,3.61,3.9,1095610.0,
2020-04-21,3.9,3.9,3.63,3.73,311260.0,
2020-04-22,3.75,4.2,3.62,4.1,1138010.0,
2020-04-23,4.19,4.5,3.87,4.1,1233160.0,
2020-04-24,3.96,4.09,3.93,4.0,228830.0,
2020-04-27,3.9,4.1,3.9,4.1,402900.0,
2020-04-28,4.1,4.16,3.96,4.06,298650.0,
2020-04-29,4.04,4.05,3.9,4.01,164460.0,
2020-04-30,3.95,4.1,3.95,4.04,501350.0,
2020-05-04,3.98,4.04,3.89,4.0,646640.0,
2020-05-05,3.91,4.09,3.91,4.0,291370.0,
2020-05-06,4.0,4.04,3.76,3.92,733670.0,
2020-05-07,3.93,3.94,3.8,3.82,714230.0,
2020-05-08,3.83,3.92,3.83,3.83,235950.0,
2020-05-11,3.82,3.92,3.76,3.9,363890.0,
2020-05-12,3.81,3.92,3.8,3.8,345270.0,
2020-05-13,3.78,3.89,3.73,3.75,179970.0,
2020-05-14,3.7,3.78,3.68,3.7,104460.0,
2020-05-15,3.7,3.81,3.6,3.7,465910.0,
2020-05-18,3.61,3.72,3.6,3.72,156330.0,
2020-05-19,3.7,3.78,3.61,3.63,258630.0,
2020-05-20,3.73,3.73,3.62,3.62,66820.0,
2020-05-21,3.75,3.75,3.62,3.62,25600.0,
2020-05-22,,,,,,
2020-05-26,3.61,3.75,3.54,3.54,130590.0,
2020-05-27,3.53,3.79,3.53,3.56,338870.0,
2020-05-28,3.53,3.72,3.53,3.7,297400.0,
2020-05-29,3.69,3.69,3.6,3.6,32670.0,
2020-06-01,3.6,3.73,3.54,3.69,433740.0,
2020-06-02,3.6,3.74,3.54,3.7,385900.0,
2020-06-03,3.61,3.95,3.61,3.8,597160.0,
2020-06-04,3.8,3.85,3.75,3.85,175000.0,
2020-06-05,3.85,4.6,3.85,4.07,3529300.0,
2020-06-08,4.19,4.19,4.01,4.01,839450.0,
2020-06-09,4.01,4.08,4.0,4.06,257420.0,
2020-06-10,4.01,4.05,4.0,4.0,352520.0,
2020-06-11,4.0,4.0,3.9,3.9,188870.0,
2020-06-15,3.98,3.98,3.75,3.75,251980.0,
2020-06-16,3.7,3.9,3.6,3.8,805500.0,
2020-06-17,3.7,3.8,3.68,3.8,264830.0,
2020-06-18,3.7,3.89,3.7,3.75,609300.0,
2020-06-19,3.7,3.9,3.68,3.89,349580.0,
2020-06-22,3.72,3.8,3.72,3.75,218120.0,
2020-06-23,3.75,3.81,3.7,3.8,71250.0,
2020-06-24,3.81,3.81,3.75,3.78,320920.0,
2020-06-25,3.79,3.79,3.7,3.71,238120.0,
2020-06-26,3.68,3.7,3.6,3.7,630250.0,
2020-06-29,3.72,3.72,3.6,3.7,137040.0,
2020-06-30,3.57,3.79,3.57,3.78,531190.0,
2020-07-01,3.6,3.6,3.6,3.6,14400.0,
2020-07-02,3.72,3.76,3.65,3.65,70570.0,
2020-07-03,3.65,3.76,3.61,3.61,301160.0,
2020-07-06,3.62,3.66,3.62,3.66,47180.0,
2020-07-07,3.74,3.75,3.66,3.74,100260.0,
2020-07-08,3.75,3.75,3.71,3.71,18690.0,
2020-07-09,3.7,3.75,3.65,3.75,88050.0,
2020-07-10,3.77,3.77,3.64,3.64,116070.0,
2020-07-13,3.65,3.89,3.61,3.77,417430.0,
2020-07-14,3.85,4.05,3.6,3.96,1754720.0,
2020-07-15,4.0,4.03,3.71,3.72,364310.0,
2020-07-16,3.8,3.99,3.8,3.81,78540.0,
2020-07-17,3.8,3.96,3.71,3.93,261160.0,
2020-07-20,3.97,4.75,3.85,3.91,8345680.0,
2020-07-21,4.1,4.1,3.81,3.84,570700.0,
2020-07-22,3.84,3.86,3.83,3.85,311270.0,
2020-07-23,3.86,3.86,3.61,3.64,644350.0,
2020-07-24,3.64,4.2,3.64,3.99,1781060.0,
