dt,open,high,low,close,value,volume
2020-03-02,1.56,1.56,1.51,1.53,3640220.0,
2020-03-03,1.53,1.68,1.53,1.65,3714730.0,
2020-03-04,1.58,1.68,1.56,1.62,1792060.0,
2020-03-05,1.64,1.7,1.61,1.68,7692060.0,
2020-03-06,1.68,1.69,1.62,1.62,2777430.0,
2020-03-09,1.58,1.58,1.4,1.4,12123120.0,
2020-03-10,1.28,1.38,1.13,1.33,4453260.0,
2020-03-11,1.33,1.4,1.3,1.3,3782840.0,
2020-03-12,1.28,1.28,1.15,1.16,16156960.0,
2020-03-13,1.13,1.24,1.02,1.22,1832770.0,
2020-03-16,1.05,1.16,1.0,1.08,2197180.0,
2020-03-19,1.05,1.05,0.91,0.99,1571240.0,
2020-03-20,0.93,1.04,0.9,0.95,489930.0,
2020-03-23,0.95,0.98,0.89,0.92,180020.0,
2020-03-24,0.92,0.99,0.91,0.98,692030.0,
2020-03-25,0.99,1.1,0.99,1.1,1225460.0,
2020-03-26,1.2,1.33,1.15,1.18,3162190.0,
2020-03-27,1.22,1.25,1.11,1.15,2349180.0,
2020-03-30,1.15,1.18,1.05,1.18,683330.0,
2020-03-31,1.2,1.27,1.16,1.19,334620.0,
2020-04-01,1.12,1.24,1.12,1.2,1075320.0,
2020-04-02,1.17,1.2,1.15,1.18,553050.0,
2020-04-03,1.16,1.18,1.15,1.15,152420.0,
2020-04-06,1.15,1.22,1.15,1.22,1036830.0,
2020-04-07,1.24,1.25,1.15,1.16,868750.0,
2020-04-08,1.15,1.2,1.15,1.18,880570.0,
2020-04-13,1.18,1.18,1.15,1.17,495220.0,
2020-04-14,1.17,1.27,1.16,1.17,2501010.0,
2020-04-15,1.17,1.22,1.17,1.18,1764970.0,
2020-04-16,1.18,1.34,1.12,1.3,8458520.0,
2020-04-17,1.33,1.36,1.2,1.23,6147710.0,
2020-04-20,1.26,1.27,1.21,1.27,2311710.0,
2020-04-21,1.25,1.25,1.18,1.22,2318890.0,
2020-04-22,1.18,1.25,1.16,1.23,949320.0,
2020-04-23,1.23,1.26,1.18,1.2,2310870.0,
2020-04-24,1.2,1.33,1.2,1.28,4064270.0,
2020-04-27,1.31,1.35,1.25,1.26,2579140.0,
2020-04-28,1.26,1.26,1.2,1.25,2085280.0,
2020-04-29,1.25,1.29,1.23,1.26,1570410.0,
2020-04-30,1.27,1.3,1.26,1.28,4810080.0,
2020-05-04,1.29,1.29,1.18,1.19,3926650.0,
2020-05-05,1.25,1.28,1.21,1.25,3841720.0,
2020-05-06,1.27,1.32,1.23,1.26,5541020.0,
2020-05-07,1.23,1.27,1.22,1.27,1202310.0,
2020-05-08,1.27,1.29,1.21,1.23,1522600.0,
2020-05-11,1.22,1.23,1.2,1.21,1283040.0,
2020-05-12,1.2,1.23,1.19,1.21,1056560.0,
2020-05-13,1.2,1.22,1.2,1.22,582950.0,
2020-05-14,1.21,1.22,1.18,1.21,1085330.0,
2020-05-15,1.22,1.23,1.2,1.23,360560.0,
2020-05-18,1.23,1.23,1.19,1.2,1071950.0,
2020-05-19,1.2,1.23,1.19,1.2,1959790.0,
2020-05-20,1.22,1.22,1.19,1.19,1399640.0,
2020-05-21,1.2,1.21,1.16,1.2,1683130.0,
2020-05-22,1.21,1.21,1.18,1.19,591870.0,
2020-05-26,1.19,1.19,1.12,1.15,1132530.0,
2020-05-27,1.14,1.14,1.06,1.12,1362060.0,
2020-05-28,1.07,1.13,1.06,1.13,164450.0,
2020-05-29,1.13,1.15,1.13,1.15,2286590.0,
2020-06-01,1.21,1.25,1.15,1.15,1858280.0,
2020-06-02,1.25,1.38,1.18,1.27,36712190.0,
2020-06-03,1.32,1.33,1.22,1.25,8559110.0,
2020-06-04,1.27,1.29,1.22,1.24,6563640.0,
2020-06-05,1.24,1.27,1.21,1.27,4977260.0,
2020-06-08,1.28,1.29,1.24,1.28,5018390.0,
2020-06-09,1.29,1.29,1.25,1.27,3386720.0,
2020-06-10,1.35,1.41,1.3,1.3,30014790.0,
2020-06-11,1.34,1.34,1.29,1.31,6406740.0,
2020-06-15,1.26,1.26,1.2,1.23,7059820.0,
2020-06-16,1.25,1.28,1.22,1.24,3072760.0,
2020-06-17,1.27,1.28,1.24,1.24,2221160.0,
2020-06-18,1.24,1.26,1.22,1.25,2540650.0,
2020-06-19,1.25,1.34,1.22,1.3,7656790.0,
2020-06-22,1.32,1.32,1.26,1.26,2038090.0,
2020-06-23,1.26,1.49,1.26,1.34,31221980.0,
2020-06-24,1.38,1.39,1.32,1.33,6900740.0,
2020-06-25,1.32,1.32,1.27,1.29,3350630.0,
2020-06-26,1.29,1.33,1.27,1.33,2441610.0,
2020-06-29,1.26,1.28,1.19,1.24,7691890.0,
2020-06-30,1.25,1.25,1.2,1.24,1120040.0,
2020-07-01,1.22,1.3,1.2,1.3,2748280.0,
2020-07-02,1.29,1.29,1.24,1.27,252490.0,
2020-07-03,1.25,1.27,1.23,1.24,2550170.0,
2020-07-06,1.28,1.46,1.26,1.43,18308130.0,
2020-07-07,1.5,1.5,1.33,1.36,11299890.0,
2020-07-08,1.35,1.4,1.3,1.31,3681820.0,
2020-07-09,1.31,1.36,1.31,1.33,1584390.0,
2020-07-10,1.31,1.35,1.28,1.35,3670050.0,
2020-07-13,1.35,1.38,1.29,1.29,1593160.0,
2020-07-14,1.29,1.31,1.24,1.25,2732700.0,
2020-07-15,1.25,1.25,1.14,1.14,11186340.0,
2020-07-16,1.16,1.22,1.16,1.19,1417590.0,
2020-07-17,1.2,1.21,1.16,1.21,986370.0,
2020-07-20,1.2,1.21,1.17,1.2,471070.0,
2020-07-21,1.17,1.22,1.16,1.2,202040.0,
2020-07-22,1.17,1.2,1.16,1.2,260230.0,
2020-07-23,1.19,1.19,1.13,1.18,1199890.0,
2020-07-24,1.21,1.24,1.2,1.21,6340170.0,
2020-07-27,1.22,1.23,1.16,1.17,2340490.0,
2020-07-28,1.17,1.19,1.15,1.19,1874020.0,
2020-07-29,1.2,1.2,1.14,1.17,1896950.0,
2020-07-30,1.19,1.19,1.16,1.17,911310.0,
2020-08-03,1.15,1.15,1.06,1.07,5334580.0,
2020-08-04,,,,1.11,,920000.0
2020-08-05,,,,1.12,,1230000.0
2020-08-06,,,,1.12,,620000.0
2020-08-07,,,,1.11,,305000.0
2020-08-10,,,,1.15,,730000.0
2020-08-11,,,,1.18,,1491000.0
2020-08-12,,,,1.18,,640000.0
2020-08-13,,,,1.17,,404000.0
2020-08-14,,,,1.16,,87000.0
2020-08-17,,,,1.14,,781000.0
2020-08-18,,,,1.14,,960000.0
2020-08-19,,,,1.14,,484000.0
2020-08-20,,,,1.2,,1811000.0
2020-08-24,,,,1.2,,1423000.0
2020-08-25,,,,1.21,,849000.0
2020-08-26,,,,1.22,,184000.0
2020-08-27,,,,1.21,,570000.0
2020-08-28,,,,1.22,,1589000.0
2020-09-01,,,,1.22,,859000.0
2020-09-02,,,,1.22,,269000.0
2020-09-03,,,,1.24,,400000.0
2020-09-04,,,,1.2,,1340000.0
2020-09-07,,,,1.21,,1360000.0
2020-09-08,,,,1.2,,827000.0
2020-09-09,,,,1.19,,1173000.0
2020-09-10,,,,1.2,,450000.0
2020-09-11,,,,1.27,,11300000.0
2020-09-14,,,,1.24,,5872000.0
2020-09-15,,,,1.21,,1215000.0
2020-09-16,,,,1.23,,249000.0
2020-09-17,,,,1.22,,356000.0
2020-09-18,,,,1.22,,948000.0
2020-09-21,,,,1.17,,4875000.0
2020-09-22,,,,1.18,,558000.0
2020-09-23,,,,1.18,,218000.0
2020-09-24,,,,1.17,,1203000.0
2020-09-25,,,,1.18,,646000.0
2020-09-28,,,,1.15,,1467000.0
