dt,open,high,low,close,value,volume
2020-03-02,0.82,0.85,0.82,0.84,23070.0,
2020-03-03,0.83,0.89,0.83,0.83,25790.0,
2020-03-04,0.89,0.89,0.88,0.88,1770.0,
2020-03-05,0.86,0.88,0.83,0.88,11140.0,
2020-03-06,0.85,0.85,0.82,0.85,305420.0,
2020-03-09,0.82,0.85,0.8,0.8,72070.0,
2020-03-10,0.79,0.8,0.73,0.77,164290.0,
2020-03-11,0.8,0.8,0.8,0.8,20000.0,
2020-03-12,0.76,0.76,0.69,0.69,564710.0,
2020-03-13,0.6,0.68,0.6,0.68,240910.0,
2020-03-16,0.64,0.64,0.62,0.62,12430.0,
2020-03-19,0.61,0.61,0.58,0.58,72490.0,
2020-03-20,0.55,0.8,0.55,0.73,55200.0,
2020-03-23,0.75,0.75,0.75,0.75,2250.0,
2020-03-24,0.72,0.72,0.66,0.66,70800.0,
2020-03-25,0.7,0.7,0.7,0.7,49000.0,
2020-03-26,0.67,0.73,0.67,0.72,50110.0,
2020-03-27,0.76,0.76,0.67,0.72,45920.0,
2020-03-30,0.72,0.72,0.72,0.72,1440.0,
2020-03-31,0.72,0.72,0.7,0.71,5670.0,
2020-04-01,0.73,0.73,0.66,0.7,84230.0,
2020-04-02,0.7,0.75,0.68,0.75,62730.0,
2020-04-03,0.75,0.75,0.75,0.75,6000.0,
2020-04-06,0.76,0.76,0.7,0.7,71990.0,
2020-04-07,0.68,0.75,0.68,0.74,215010.0,
2020-04-08,,,,,,
2020-04-13,0.71,0.71,0.7,0.7,141930.0,
2020-04-14,0.67,0.73,0.66,0.69,94120.0,
2020-04-15,0.74,0.74,0.66,0.72,221030.0,
2020-04-16,0.75,0.79,0.72,0.78,314050.0,
2020-04-17,0.73,0.76,0.73,0.76,19370.0,
2020-04-20,0.73,0.75,0.72,0.73,60100.0,
2020-04-21,0.76,0.77,0.73,0.73,76620.0,
2020-04-22,0.73,0.76,0.73,0.76,20470.0,
2020-04-23,0.76,0.84,0.76,0.79,246730.0,
2020-04-24,0.74,0.8,0.74,0.79,31780.0,
2020-04-27,0.8,0.93,0.79,0.86,2206570.0,
2020-04-28,0.9,0.93,0.85,0.88,315120.0,
2020-04-29,0.88,0.89,0.82,0.89,318290.0,
2020-04-30,0.86,0.88,0.85,0.85,205230.0,
2020-05-04,0.85,0.87,0.82,0.87,25700.0,
2020-05-05,0.81,0.83,0.8,0.83,192160.0,
2020-05-06,0.8,0.83,0.79,0.83,134820.0,
2020-05-07,,,,,,
2020-05-08,0.78,0.83,0.78,0.82,497840.0,
2020-05-11,0.77,0.8,0.77,0.77,41940.0,
2020-05-12,0.77,0.79,0.76,0.79,75670.0,
2020-05-13,0.8,0.8,0.77,0.79,11920.0,
2020-05-14,0.75,0.79,0.75,0.79,47290.0,
2020-05-15,0.75,0.79,0.75,0.79,8380.0,
2020-05-18,0.75,0.8,0.75,0.78,31050.0,
2020-05-19,0.79,0.87,0.79,0.8,57810.0,
2020-05-20,0.81,0.81,0.78,0.8,48510.0,
2020-05-21,0.78,0.8,0.76,0.8,6140.0,
2020-05-22,0.76,0.79,0.76,0.79,38060.0,
2020-05-26,0.78,0.78,0.73,0.74,70670.0,
2020-05-27,0.74,0.74,0.74,0.74,28120.0,
2020-05-28,0.8,0.8,0.78,0.78,2360.0,
2020-05-29,0.73,0.78,0.73,0.76,65780.0,
2020-06-01,0.74,0.77,0.72,0.76,29680.0,
2020-06-02,0.73,0.76,0.73,0.74,52310.0,
2020-06-03,0.74,0.78,0.72,0.78,227020.0,
2020-06-04,0.76,0.76,0.68,0.75,383160.0,
2020-06-05,0.71,0.75,0.71,0.75,225070.0,
2020-06-08,0.75,0.75,0.72,0.75,90330.0,
2020-06-09,0.73,0.8,0.73,0.79,581470.0,
2020-06-10,0.79,0.8,0.78,0.8,356060.0,
2020-06-11,0.8,0.8,0.73,0.78,232940.0,
2020-06-15,0.78,0.78,0.74,0.76,66090.0,
2020-06-16,0.73,0.75,0.72,0.75,87470.0,
2020-06-17,0.73,0.75,0.73,0.75,268170.0,
2020-06-18,0.72,0.74,0.72,0.72,50460.0,
2020-06-19,0.72,0.75,0.71,0.75,116110.0,
2020-06-22,0.73,0.75,0.72,0.75,45650.0,
2020-06-23,0.73,0.77,0.73,0.75,59950.0,
2020-06-24,0.75,0.78,0.73,0.73,52590.0,
2020-06-25,0.76,0.76,0.73,0.73,6660.0,
2020-06-26,0.76,0.76,0.72,0.73,122190.0,
2020-06-29,0.72,0.73,0.72,0.72,69940.0,
2020-06-30,0.74,0.74,0.72,0.72,105460.0,
2020-07-01,0.72,0.72,0.72,0.72,15120.0,
2020-07-02,0.72,0.73,0.72,0.72,48990.0,
2020-07-03,0.71,0.73,0.69,0.7,155210.0,
2020-07-06,0.7,0.73,0.7,0.73,142210.0,
