dt,open,high,low,close,value,volume
2020-03-02,6.7,6.9,6.27,6.82,6492502.0,
2020-03-03,7.0,7.45,7.0,7.2,15321473.0,
2020-03-04,7.21,7.21,6.75,6.81,6753612.0,
2020-03-05,7.0,7.42,6.82,7.08,7394656.0,
2020-03-06,6.83,7.0,6.5,6.5,5158296.0,
2020-03-09,6.13,6.24,5.5,6.0,11688445.0,
2020-03-10,5.7,5.7,5.06,5.21,8005757.0,
2020-03-11,5.36,5.55,5.2,5.2,4475619.0,
2020-03-12,5.1,5.1,4.13,4.34,5711249.0,
2020-03-13,3.95,5.0,3.6,4.95,3290780.0,
2020-03-16,4.95,4.95,4.3,4.43,1016840.0,
2020-03-19,4.0,4.0,3.62,3.8,2073260.0,
2020-03-20,4.2,4.2,3.71,3.85,1524170.0,
2020-03-23,3.82,3.82,3.65,3.8,810810.0,
2020-03-24,3.95,4.26,3.85,4.1,2619390.0,
2020-03-25,4.34,5.7,4.32,5.7,14476170.0,
2020-03-26,6.26,7.2,6.1,6.94,46861647.0,
2020-03-27,7.04,7.2,6.1,6.3,29914640.0,
2020-03-30,6.24,6.55,5.8,6.4,14246084.0,
2020-03-31,6.55,6.94,6.5,6.65,22133397.0,
2020-04-01,6.69,6.69,6.31,6.4,7106431.0,
2020-04-02,6.3,6.3,6.0,6.16,4661580.0,
2020-04-03,6.23,6.55,6.23,6.3,6443916.0,
2020-04-06,6.45,6.59,6.29,6.55,5327260.0,
2020-04-07,6.75,6.9,6.17,6.2,13234550.0,
2020-04-08,6.2,6.27,5.94,5.97,36803845.0,
2020-04-13,5.99,6.1,5.83,5.86,7937868.0,
2020-04-14,5.87,6.09,5.81,6.08,5861313.0,
2020-04-15,6.46,6.86,6.35,6.86,27803666.0,
2020-04-16,7.1,9.05,7.1,8.85,127494627.0,
2020-04-17,9.5,9.99,8.45,8.72,169555708.0,
2020-04-20,8.8,9.64,8.1,9.61,104830096.0,
2020-04-21,9.64,9.7,8.78,9.0,60939204.0,
2020-04-22,8.78,9.3,8.6,8.9,104214039.0,
2020-04-23,9.15,9.25,8.64,8.71,44431497.0,
2020-04-24,8.68,9.1,8.32,8.4,100745375.0,
2020-04-27,8.3,8.8,8.15,8.3,23800626.0,
2020-04-28,8.6,9.1,8.2,9.1,45511155.0,
2020-04-29,9.2,9.4,8.61,8.81,39306834.0,
2020-04-30,8.9,9.15,8.5,9.0,30548473.0,
2020-05-04,8.98,8.98,8.55,8.59,30709504.0,
2020-05-05,8.8,8.9,8.66,8.73,10293446.0,
2020-05-06,8.75,8.8,8.21,8.34,28090493.0,
2020-05-07,8.47,8.78,8.24,8.28,67607360.0,
2020-05-08,8.35,8.47,7.55,7.66,51450245.0,
2020-05-11,7.73,7.8,7.3,7.46,28394474.0,
2020-05-12,8.05,8.6,7.85,8.58,98512536.0,
2020-05-13,8.6,8.9,8.11,8.26,85863503.0,
2020-05-14,8.1,8.42,7.9,8.36,24869962.0,
2020-05-15,8.38,8.48,8.1,8.21,12116400.0,
2020-05-18,8.19,8.26,8.01,8.25,9672038.0,
2020-05-19,8.28,8.38,7.9,7.95,31830327.0,
2020-05-20,7.91,7.95,7.72,7.8,15346621.0,
2020-05-21,7.77,8.09,7.72,7.94,70917602.0,
2020-05-22,7.94,7.94,7.56,7.65,34835777.0,
2020-05-26,7.7,7.74,7.06,7.36,16276270.0,
2020-05-27,7.36,7.36,7.04,7.3,9010615.0,
2020-05-28,7.35,7.4,7.2,7.34,7638020.0,
2020-05-29,7.4,7.6,7.2,7.2,13304413.0,
2020-06-01,7.15,7.34,7.06,7.2,7063678.0,
2020-06-02,7.21,7.98,7.21,7.98,30447350.0,
2020-06-03,8.0,8.06,7.61,7.7,30425868.0,
2020-06-04,7.89,8.23,7.6,7.7,46755540.0,
2020-06-05,7.69,7.8,7.37,7.59,20760859.0,
2020-06-08,7.74,8.59,7.61,8.53,169329581.0,
2020-06-09,8.85,9.09,8.2,8.36,126296127.0,
2020-06-10,8.37,8.52,8.1,8.29,95042628.0,
2020-06-11,8.24,8.77,8.02,8.45,57679285.0,
2020-06-15,8.25,8.75,8.11,8.18,51715934.0,
2020-06-16,8.26,8.4,8.17,8.2,31829750.0,
2020-06-17,8.24,8.5,8.13,8.2,30142010.0,
2020-06-18,8.4,8.9,8.18,8.4,82561960.0,
2020-06-19,9.45,9.5,8.6,8.86,173909446.0,
2020-06-22,8.99,9.19,8.52,8.71,82254313.0,
2020-06-23,8.72,8.97,8.53,8.8,51954174.0,
2020-06-24,8.88,8.91,8.23,8.23,213169293.0,
2020-06-25,8.0,8.31,7.72,8.13,78102781.0,
2020-06-26,8.13,8.2,7.65,7.71,74267991.0,
2020-06-29,7.5,7.94,7.26,7.94,51533063.0,
2020-06-30,7.99,8.1,7.8,7.85,24999235.0,
2020-07-01,7.86,7.92,7.62,7.8,18490692.0,
2020-07-02,7.89,8.0,7.71,7.85,13168507.0,
2020-07-03,7.97,8.19,7.81,8.19,30711827.0,
2020-07-06,8.23,8.39,8.05,8.19,23320704.0,
2020-07-07,8.19,8.4,8.1,8.37,23651235.0,
2020-07-08,8.45,8.45,7.6,7.66,84656088.0,
2020-07-09,7.9,7.95,7.71,7.71,33395271.0,
2020-07-10,7.72,7.8,7.34,7.43,29558377.0,
2020-07-13,7.43,7.43,7.14,7.29,21966328.0,
2020-07-14,7.29,7.29,6.51,6.65,52949220.0,
2020-07-15,6.65,7.0,6.5,6.63,18472284.0,
2020-07-16,6.66,6.95,6.66,6.88,7688659.0,
2020-07-17,6.95,6.95,6.33,6.57,51123063.0,
2020-07-20,6.55,6.55,6.1,6.3,23401240.0,
2020-07-21,6.2,6.42,5.88,5.9,104523334.0,
2020-07-22,5.97,6.26,5.9,6.24,42217528.0,
2020-07-23,6.26,6.27,5.71,5.8,18472942.0,
2020-07-24,5.77,5.77,5.45,5.52,10680375.0,
2020-07-27,5.52,5.52,5.07,5.07,15609071.0,
2020-07-28,5.1,5.5,5.1,5.5,9863596.0,
2020-07-29,5.5,5.5,5.15,5.35,5658413.0,
2020-07-30,5.4,5.81,5.4,5.8,14648485.0,
2020-08-03,5.6,5.6,5.2,5.35,10366043.0,
2020-08-04,,,,5.55,,712600.0
2020-08-05,,,,5.88,,2062500.0
2020-08-06,,,,5.99,,2945400.0
2020-08-07,,,,5.9,,754400.0
2020-08-10,,,,5.91,,905200.0
2020-08-11,,,,6.25,,2327000.0
2020-08-12,,,,6.0,,3859400.0
2020-08-13,,,,5.95,,2649400.0
2020-08-14,,,,5.64,,3276600.0
2020-08-17,,,,5.9,,17270200.0
2020-08-18,,,,5.88,,1214800.0
2020-08-19,,,,5.79,,508600.0
2020-08-20,,,,5.7,,1533100.0
2020-08-24,,,,5.7,,493800.0
2020-08-25,,,,5.97,,6637200.0
2020-08-26,,,,6.0,,5855800.0
2020-08-27,,,,5.85,,1619000.0
2020-08-28,,,,5.7,,3331700.0
2020-09-01,,,,5.74,,782500.0
2020-09-02,,,,5.65,,3539800.0
2020-09-03,,,,5.55,,1144100.0
2020-09-04,,,,5.75,,3212500.0
2020-09-07,,,,5.72,,763100.0
2020-09-08,,,,5.75,,2607600.0
2020-09-09,,,,5.75,,707900.0
2020-09-10,,,,5.75,,639200.0
2020-09-11,,,,5.72,,1142800.0
2020-09-14,,,,5.66,,1229500.0
2020-09-15,,,,6.07,,8810400.0
2020-09-16,,,,6.2,,10889500.0
2020-09-17,,,,6.01,,4279000.0
2020-09-18,,,,5.95,,3115100.0
2020-09-21,,,,5.76,,21803100.0
2020-09-22,,,,5.65,,3728800.0
2020-09-23,,,,5.79,,4434100.0
2020-09-24,,,,5.84,,3373300.0
2020-09-25,,,,5.8,,782900.0
2020-09-28,,,,5.7,,1544400.0
