dt,open,high,low,close,value,volume
2020-03-02,980.0,1009.0,976.0,982.5,84009405.0,
2020-03-03,995.0,1007.0,994.5,1002.0,150890225.0,
2020-03-04,1000.0,1015.0,990.5,1015.0,72554220.0,
2020-03-05,1015.0,1059.0,1002.0,1043.0,294289040.0,
2020-03-06,1043.0,1062.0,1025.0,1059.0,291555805.0,
2020-03-09,1030.0,1030.0,1011.0,1021.0,152396770.0,
2020-03-10,1010.0,1015.0,985.0,1010.0,219991490.0,
2020-03-11,1020.0,1027.0,1012.0,1020.0,149824200.0,
2020-03-12,1015.0,1019.0,980.0,980.0,227199022.5,
2020-03-13,920.0,1059.0,880.0,1029.0,311671435.0,
2020-03-16,970.0,995.0,910.0,980.0,225191017.5,
2020-03-19,885.0,924.0,805.0,924.0,223509370.0,
2020-03-20,924.0,930.0,849.0,860.5,236787235.0,
2020-03-23,857.5,930.0,839.0,920.0,188027735.0,
2020-03-24,932.0,933.0,900.0,921.0,115499905.0,
2020-03-25,945.0,971.0,936.0,971.0,224430665.0,
2020-03-26,985.0,1080.0,983.5,1066.0,375402115.0,
2020-03-27,1075.0,1095.0,1050.0,1070.0,449649360.0,
2020-03-30,1050.0,1088.0,1026.0,1070.0,238806260.0,
2020-03-31,1069.0,1129.0,1050.0,1129.0,304792545.0,
2020-04-01,1115.0,1179.0,1105.0,1159.0,317150420.0,
2020-04-02,1146.0,1146.0,1090.0,1090.0,167517485.0,
2020-04-03,1120.0,1130.0,1110.0,1118.0,97885435.0,
2020-04-06,1121.0,1170.0,1121.0,1170.0,146871195.0,
2020-04-07,1175.0,1175.0,1130.0,1130.0,177224965.0,
2020-04-08,1128.0,1128.0,1081.0,1100.0,247263965.0,
2020-04-13,1103.0,1127.0,1090.0,1127.0,97188790.0,
2020-04-14,1130.0,1170.0,1129.0,1170.0,136640010.0,
2020-04-15,1167.0,1170.0,1154.0,1170.0,158219065.0,
2020-04-16,1150.0,1150.0,1111.0,1115.0,425759625.0,
2020-04-17,1130.0,1149.0,1118.0,1138.0,292584705.0,
2020-04-20,1132.0,1165.0,1120.0,1150.0,189209720.0,
2020-04-21,1150.0,1170.0,1126.0,1130.0,324790410.0,
2020-04-22,1138.0,1194.0,1138.0,1180.0,447409345.0,
2020-04-23,1176.0,1208.0,1142.0,1163.0,344010735.0,
2020-04-24,1174.0,1230.0,1172.0,1227.0,452470040.0,
2020-04-27,1227.0,1270.0,1226.0,1239.0,201710080.0,
2020-04-28,1240.0,1265.0,1206.0,1206.0,224253595.0,
2020-04-29,1231.0,1270.0,1231.0,1270.0,497832980.0,
2020-04-30,1269.0,1305.0,1263.0,1299.0,467545715.0,
2020-05-04,1260.0,1260.0,1222.0,1259.0,221008235.0,
2020-05-05,1259.0,1269.0,1240.0,1240.0,134001165.0,
2020-05-06,1250.0,1275.0,1221.0,1275.0,232814125.0,
2020-05-07,1268.0,1291.0,1227.0,1227.0,357170830.0,
2020-05-08,1243.0,1250.0,1207.0,1207.0,249557620.0,
2020-05-11,1212.0,1225.0,1170.0,1170.0,195747130.0,
2020-05-12,1180.0,1208.0,1171.0,1185.0,205012410.0,
2020-05-13,1186.0,1218.0,1186.0,1189.0,88029510.0,
2020-05-14,1185.0,1215.0,1172.0,1201.0,155241590.0,
2020-05-15,1202.0,1224.0,1202.0,1220.0,147628970.0,
2020-05-18,1219.0,1219.0,1191.0,1205.0,57185710.0,
2020-05-19,1210.0,1224.0,1210.0,1220.0,97170370.0,
2020-05-20,1221.0,1223.0,1200.0,1208.0,83453240.0,
2020-05-21,1201.0,1238.0,1201.0,1216.0,131638740.0,
2020-05-22,1228.0,1228.0,1211.0,1211.0,47417080.0,
2020-05-26,1211.0,1224.0,1190.0,1212.0,68751690.0,
2020-05-27,1206.0,1211.0,1190.0,1211.0,164992895.0,
2020-05-28,1211.0,1213.0,1201.0,1204.0,79181645.0,
2020-05-29,1210.0,1275.0,1204.0,1275.0,477705660.0,
2020-06-01,1240.0,1270.0,1231.0,1250.0,136787520.0,
2020-06-02,1238.0,1249.0,1233.0,1242.0,133726565.0,
2020-06-03,1243.0,1255.0,1206.0,1230.0,174922285.0,
2020-06-04,1210.0,1220.0,1190.0,1220.0,334700035.0,
2020-06-05,1211.0,1211.0,1180.0,1180.0,403472555.0,
2020-06-08,1183.0,1185.0,1136.0,1140.0,433214670.0,
2020-06-09,1142.0,1196.0,1142.0,1194.0,266513040.0,
2020-06-10,1200.0,1234.0,1200.0,1225.0,191406015.0,
2020-06-11,1225.0,1249.0,1195.0,1249.0,244880885.0,
2020-06-15,1239.0,1239.0,1206.0,1220.0,250351250.0,
2020-06-16,1215.0,1230.0,1211.0,1223.0,206905100.0,
2020-06-17,1227.0,1246.0,1220.0,1220.0,131227610.0,
2020-06-18,1230.0,1241.0,1215.0,1241.0,150612330.0,
2020-06-19,1241.0,1260.0,1231.0,1231.0,1216799840.0,
2020-06-22,1225.0,1256.0,1208.0,1252.0,163745960.0,
2020-06-23,1249.0,1256.0,1225.0,1250.0,205360820.0,
2020-06-24,1250.0,1250.0,1213.0,1213.0,170915250.0,
2020-06-25,1203.0,1206.0,1163.0,1190.0,130869615.0,
2020-06-26,1194.0,1250.0,1193.0,1250.0,210462805.0,
2020-06-29,1237.0,1237.0,1201.0,1235.0,131436020.0,
2020-06-30,1231.0,1255.0,1223.0,1250.0,178084655.0,
2020-07-01,1249.0,1264.0,1226.0,1252.0,130893055.0,
2020-07-02,1252.0,1300.0,1252.0,1300.0,514764460.0,
2020-07-03,1300.0,1300.0,1275.0,1290.0,116920265.0,
2020-07-06,1290.0,1336.0,1276.0,1312.0,338205950.0,
2020-07-07,1314.0,1314.0,1279.0,1297.0,208620175.0,
2020-07-08,1298.0,1350.0,1297.0,1348.0,367645015.0,
2020-07-09,1350.0,1371.0,1345.0,1360.0,423252115.0,
2020-07-10,1360.0,1360.0,1326.0,1360.0,106643900.0,
2020-07-13,1360.0,1398.0,1358.0,1396.0,244895435.0,
2020-07-14,1381.0,1389.0,1352.0,1380.0,116585355.0,
2020-07-15,1361.0,1372.0,1305.0,1372.0,305042285.0,
2020-07-16,1360.0,1367.0,1340.0,1359.0,241353520.0,
2020-07-17,1355.0,1355.0,1340.0,1350.0,152205115.0,
2020-07-20,1341.0,1367.0,1338.0,1350.0,100727365.0,
2020-07-21,1350.0,1354.0,1338.0,1345.0,179454765.0,
2020-07-22,1344.0,1359.0,1342.0,1349.0,193626990.0,
2020-07-23,1345.0,1349.0,1300.0,1330.0,136496900.0,
2020-07-24,1339.0,1343.0,1305.0,1340.0,110059890.0,
2020-07-27,1339.0,1339.0,1316.0,1320.0,89415480.0,
2020-07-28,1288.0,1327.0,1272.0,1327.0,303908230.0,
2020-07-29,1301.0,1319.0,1300.0,1316.0,83595190.0,
2020-07-30,1320.0,1344.0,1316.0,1340.0,236862585.0,
2020-08-03,1320.0,1337.0,1285.0,1317.0,208494760.0,
2020-08-04,,,,1337.0,,286735.0
2020-08-05,,,,1353.0,,221295.0
2020-08-06,,,,1370.0,,275925.0
2020-08-07,,,,1389.0,,329740.0
2020-08-10,,,,1389.0,,154525.0
2020-08-11,,,,1390.0,,172195.0
2020-08-12,,,,1380.0,,141265.0
2020-08-13,,,,1387.0,,80345.0
2020-08-14,,,,1350.0,,310775.0
2020-08-17,,,,1348.0,,125645.0
2020-08-18,,,,1360.0,,112980.0
2020-08-19,,,,1380.0,,70135.0
2020-08-20,,,,1368.0,,24270.0
2020-08-24,,,,1400.0,,120560.0
2020-08-25,,,,1448.0,,155455.0
2020-08-26,,,,1441.0,,154770.0
2020-08-27,,,,1446.0,,152430.0
2020-08-28,,,,1479.0,,268595.0
2020-09-01,,,,1465.0,,236140.0
2020-09-02,,,,1450.0,,181080.0
2020-09-03,,,,1450.0,,166400.0
2020-09-04,,,,1416.0,,155560.0
2020-09-07,,,,1440.0,,70355.0
2020-09-08,,,,1450.0,,101470.0
2020-09-09,,,,1446.0,,137825.0
2020-09-10,,,,1448.0,,123935.0
2020-09-11,,,,1485.0,,130290.0
2020-09-14,,,,1455.0,,93260.0
2020-09-15,,,,1405.0,,278935.0
2020-09-16,,,,1395.0,,108405.0
2020-09-17,,,,1390.0,,169145.0
2020-09-18,,,,1383.0,,243020.0
2020-09-21,,,,1375.0,,99530.0
2020-09-22,,,,1382.0,,117415.0
2020-09-23,,,,1385.0,,128210.0
2020-09-24,,,,1370.0,,156030.0
