dt,open,high,low,close,value,volume
2020-03-02,151.0,151.0,150.0,150.0,313320.0,
2020-03-03,150.0,158.0,139.9,140.0,713887.0,
2020-03-04,139.0,154.9,135.0,154.9,313405.0,
2020-03-05,135.0,156.0,135.0,156.0,1751233.0,
2020-03-06,147.3,156.0,140.2,142.2,750782.0,
2020-03-09,148.1,154.0,140.0,154.0,302473.0,
2020-03-10,140.1,145.0,140.0,142.5,108928.0,
2020-03-11,141.5,150.0,141.0,150.0,458900.0,
2020-03-12,149.8,150.0,147.0,147.0,138333.0,
2020-03-13,140.0,145.0,125.0,145.0,129256.0,
2020-03-16,144.0,145.0,144.0,145.0,10140.0,
2020-03-19,140.0,140.0,130.0,140.0,26300.0,
2020-03-20,141.0,141.0,140.0,140.0,14020.0,
2020-03-23,140.0,140.0,139.9,140.0,83990.0,
2020-03-24,151.9,152.0,151.9,152.0,24312.0,
2020-03-25,,,,,,
2020-03-26,152.1,152.1,151.8,152.0,65334.0,
2020-03-27,149.0,152.0,140.0,152.0,345563.0,
2020-03-30,152.5,152.5,152.0,152.0,53235.0,
2020-03-31,,,,,,
2020-04-01,151.9,152.5,151.0,152.5,92805.0,
2020-04-02,152.5,152.5,135.1,152.5,195952.0,
2020-04-03,137.3,152.5,137.3,152.5,407308.0,
2020-04-06,137.4,153.0,136.0,153.0,877672.0,
2020-04-07,153.0,155.0,151.2,153.0,1182537.0,
2020-04-08,155.0,156.0,149.0,156.0,60130.0,
2020-04-13,150.0,156.0,150.0,156.0,49560.0,
2020-04-14,149.5,150.3,147.7,150.3,1248205.0,
2020-04-15,153.0,153.0,147.0,150.3,643600.0,
2020-04-16,151.0,151.0,151.0,151.0,15100.0,
2020-04-17,152.0,152.0,144.2,144.2,9032.0,
2020-04-20,145.1,145.1,136.2,144.2,3776404.0,
2020-04-21,136.2,142.0,136.2,139.0,1390254.0,
2020-04-22,147.0,151.9,139.1,146.9,139550.0,
2020-04-23,146.9,146.9,141.0,144.8,66622.0,
2020-04-24,145.0,145.0,145.0,145.0,72500.0,
2020-04-27,136.2,141.0,136.2,141.0,344706.0,
2020-04-28,141.0,145.0,139.5,139.5,701750.0,
2020-04-29,139.5,142.0,139.5,142.0,229030.0,
2020-04-30,142.0,142.0,142.0,142.0,113600.0,
2020-05-04,140.0,140.0,138.0,138.0,351380.0,
2020-05-05,,,,,,
2020-05-06,141.0,141.0,138.5,141.0,172364.0,
2020-05-07,139.0,139.0,138.0,138.0,274720.0,
2020-05-08,138.0,138.0,136.0,138.0,911470.0,
2020-05-11,136.0,136.0,136.0,136.0,6800.0,
2020-05-12,138.0,138.0,138.0,138.0,95220.0,
2020-05-13,138.0,138.0,138.0,138.0,56580.0,
2020-05-14,135.3,138.0,130.1,138.0,576541.0,
2020-05-15,,,,,,
2020-05-18,136.0,136.0,130.2,136.0,51568.0,
2020-05-19,131.0,136.0,131.0,136.0,54210.0,
2020-05-20,136.0,136.0,131.0,136.0,17480.0,
2020-05-21,131.0,136.0,130.0,136.0,297640.0,
2020-05-22,129.3,136.0,127.2,136.0,462444.0,
2020-05-26,129.0,135.6,129.0,135.6,14841.0,
2020-05-27,135.6,136.0,135.0,136.0,55656.0,
2020-05-28,136.0,137.9,133.0,137.9,290019.0,
2020-05-29,135.0,137.0,134.2,134.2,541382.0,
2020-06-01,137.5,137.5,135.0,137.5,56325.0,
2020-06-02,137.5,137.8,137.5,137.8,140292.0,
2020-06-03,137.8,137.9,134.2,137.9,264046.0,
2020-06-04,137.9,139.0,137.0,139.0,383829.0,
2020-06-05,138.0,141.0,137.0,141.0,1005991.0,
2020-06-08,138.5,141.0,138.0,138.7,4476778.0,
2020-06-09,141.0,141.0,141.0,141.0,999690.0,
2020-06-10,140.8,141.0,138.0,138.1,242058.0,
2020-06-11,139.1,139.1,138.0,138.0,1905453.0,
2020-06-15,138.0,138.0,135.0,135.0,94860.0,
2020-06-16,136.0,136.0,136.0,136.0,29920.0,
2020-06-17,,,,,,
2020-06-18,136.0,137.9,134.0,134.0,13636.0,
2020-06-19,134.0,134.0,124.5,124.5,3158046.0,
2020-06-22,125.0,137.5,125.0,137.5,80020.0,
2020-06-23,126.5,129.7,126.5,129.4,587147.0,
2020-06-24,128.4,128.4,128.1,128.1,39755.0,
2020-06-25,135.0,135.0,128.1,129.0,37426.0,
2020-06-26,129.0,136.0,129.0,136.0,51751540.0,
2020-06-29,137.9,137.9,126.5,126.5,192650.0,
2020-06-30,126.5,130.0,126.5,130.0,16760.0,
2020-07-01,130.0,130.0,128.0,128.0,7700.0,
2020-07-02,137.0,137.6,129.1,130.8,390053.0,
2020-07-03,130.0,130.0,128.0,128.0,51280.0,
2020-07-06,128.0,128.0,128.0,128.0,780800.0,
2020-07-07,137.0,137.0,127.0,128.0,248397.0,
2020-07-08,128.0,130.0,128.0,130.0,14180.0,
2020-07-09,127.0,127.0,125.0,125.0,277265.0,
2020-07-10,126.2,130.0,126.2,130.0,98474.0,
2020-07-13,130.0,130.0,125.5,125.5,12910.0,
2020-07-14,125.0,132.0,124.1,132.0,1375644.0,
2020-07-15,124.5,125.0,121.0,124.0,801872.0,
2020-07-16,130.0,130.0,120.1,124.0,3909655.0,
2020-07-17,123.0,124.0,119.0,124.0,598709.0,
2020-07-20,123.5,124.0,123.0,124.0,229830.0,
2020-07-21,123.0,123.5,122.0,123.5,150200.0,
2020-07-22,122.7,124.0,120.0,124.0,689360.0,
2020-07-23,,,,,,
2020-07-24,123.5,123.5,123.5,123.5,11115.0,
2020-07-27,,,,,,
2020-07-28,123.0,123.0,121.0,121.0,55406260.0,
2020-07-29,120.0,124.0,120.0,124.0,245454.0,
2020-07-30,119.0,124.0,119.0,123.0,1402345.0,
2020-08-03,,,,,,
2020-08-04,,,,124.0,,4010.0
2020-08-05,,,,124.5,,2470.0
2020-08-06,,,,124.5,,4050.0
2020-08-07,,,,125.8,,660.0
2020-08-10,,,,128.0,,4030.0
2020-08-11,,,,128.9,,500.0
2020-08-12,,,,128.9,,430.0
2020-08-13,,,,129.0,,2710.0
2020-08-14,,,,130.0,,2720.0
2020-08-17,,,,130.0,,3020.0
2020-08-18,,,,131.0,,740.0
2020-08-19,,,,132.0,,2670.0
2020-08-20,,,,132.0,,1190.0
2020-08-25,,,,134.0,,1960.0
2020-08-26,,,,133.9,,418270.0
2020-08-27,,,,132.0,,9070.0
2020-08-28,,,,130.0,,7290.0
2020-09-01,,,,131.9,,120.0
2020-09-02,,,,129.0,,200.0
2020-09-08,,,,131.0,,110.0
2020-09-09,,,,131.9,,500.0
2020-09-11,,,,129.0,,510.0
2020-09-14,,,,129.0,,680.0
2020-09-15,,,,130.0,,30.0
2020-09-16,,,,130.0,,1020.0
2020-09-17,,,,128.0,,820.0
2020-09-18,,,,131.8,,2700.0
2020-09-21,,,,127.5,,3110.0
2020-09-22,,,,129.7,,270.0
2020-09-23,,,,129.0,,830.0
2020-09-24,,,,128.0,,1650.0
2020-09-25,,,,128.0,,10.0
