dt,open,high,low,close,value,volume
2020-03-02,1.02,1.02,0.95,1.0,1785820.0,
2020-03-03,1.0,1.03,1.0,1.01,374020.0,
2020-03-04,1.02,1.02,0.99,1.0,431310.0,
2020-03-05,0.99,1.02,0.98,1.02,330290.0,
2020-03-06,1.03,1.04,1.01,1.01,364310.0,
2020-03-09,1.0,1.0,0.85,0.86,1173170.0,
2020-03-10,0.82,0.83,0.71,0.81,911260.0,
2020-03-11,0.87,0.87,0.82,0.84,234210.0,
2020-03-12,0.84,0.84,0.7,0.79,840840.0,
2020-03-13,0.71,0.75,0.56,0.72,1477860.0,
2020-03-16,0.71,0.71,0.6,0.61,578010.0,
2020-03-19,0.59,0.61,0.51,0.55,245870.0,
2020-03-20,0.56,0.62,0.56,0.62,378990.0,
2020-03-23,0.61,0.61,0.58,0.61,185470.0,
2020-03-24,0.58,0.66,0.57,0.64,303360.0,
2020-03-25,0.68,0.7,0.65,0.68,368490.0,
2020-03-26,0.76,0.76,0.71,0.73,287820.0,
2020-03-27,0.82,0.82,0.7,0.76,507890.0,
2020-03-30,0.72,0.73,0.7,0.7,369160.0,
2020-03-31,0.74,0.76,0.65,0.75,217450.0,
2020-04-01,0.75,0.77,0.73,0.77,358930.0,
2020-04-02,0.76,0.78,0.74,0.74,310550.0,
2020-04-03,0.74,0.77,0.74,0.75,194920.0,
2020-04-06,0.75,0.8,0.74,0.78,377520.0,
2020-04-07,0.78,0.78,0.76,0.76,147240.0,
2020-04-08,0.76,0.77,0.71,0.74,428050.0,
2020-04-13,0.73,0.77,0.73,0.76,176820.0,
2020-04-14,0.77,0.78,0.74,0.78,608520.0,
2020-04-15,0.76,0.8,0.76,0.78,604360.0,
2020-04-16,0.8,0.8,0.78,0.8,771180.0,
2020-04-17,0.82,0.94,0.82,0.92,2869180.0,
2020-04-20,0.98,0.99,0.87,0.92,2546190.0,
2020-04-21,0.92,0.92,0.85,0.85,1162590.0,
2020-04-22,0.85,0.88,0.83,0.88,428360.0,
2020-04-23,0.89,0.96,0.88,0.92,1564460.0,
2020-04-24,0.93,0.95,0.89,0.91,1131670.0,
2020-04-27,0.91,0.91,0.86,0.9,496040.0,
2020-04-28,0.91,0.91,0.87,0.89,652110.0,
2020-04-29,0.9,0.91,0.88,0.89,327000.0,
2020-04-30,0.89,0.91,0.88,0.89,325160.0,
2020-05-04,0.91,0.91,0.87,0.87,235950.0,
2020-05-05,0.87,0.89,0.85,0.89,558510.0,
2020-05-06,0.88,0.88,0.85,0.88,116870.0,
2020-05-07,0.86,0.89,0.85,0.88,184920.0,
2020-05-08,0.9,0.9,0.87,0.87,436180.0,
2020-05-11,0.89,0.89,0.85,0.86,312670.0,
2020-05-12,0.86,0.89,0.85,0.85,64970.0,
2020-05-13,0.85,0.87,0.83,0.85,169190.0,
2020-05-14,0.87,0.87,0.83,0.85,147990.0,
2020-05-15,0.89,0.89,0.84,0.85,113170.0,
2020-05-18,0.85,0.85,0.81,0.83,287740.0,
2020-05-19,0.83,0.86,0.8,0.83,141520.0,
2020-05-20,0.83,0.84,0.8,0.8,92940.0,
2020-05-21,0.8,0.82,0.8,0.8,404260.0,
2020-05-22,0.79,0.82,0.79,0.79,116510.0,
2020-05-26,0.79,0.79,0.7,0.7,328270.0,
2020-05-27,0.71,0.76,0.71,0.73,245430.0,
2020-05-28,0.76,0.87,0.76,0.78,475310.0,
2020-05-29,0.85,0.85,0.77,0.78,102270.0,
2020-06-01,0.78,0.83,0.78,0.8,187590.0,
2020-06-02,0.8,0.82,0.8,0.82,486440.0,
2020-06-03,0.84,0.84,0.81,0.84,325070.0,
2020-06-04,0.84,0.9,0.82,0.85,1013220.0,
2020-06-05,0.86,0.88,0.85,0.86,275980.0,
2020-06-08,0.9,0.9,0.88,0.89,778600.0,
2020-06-09,0.89,0.93,0.89,0.91,591510.0,
2020-06-10,0.9,0.94,0.89,0.89,786100.0,
2020-06-11,0.9,0.9,0.85,0.88,650420.0,
2020-06-15,0.89,0.89,0.85,0.85,414930.0,
2020-06-16,0.82,0.88,0.81,0.88,282580.0,
2020-06-17,0.84,0.88,0.84,0.86,222570.0,
2020-06-18,0.88,0.88,0.84,0.86,180710.0,
2020-06-19,0.86,0.87,0.85,0.87,215000.0,
2020-06-22,0.87,0.87,0.83,0.83,261900.0,
2020-06-23,0.83,0.85,0.81,0.85,618130.0,
2020-06-24,0.84,0.86,0.83,0.83,425240.0,
2020-06-25,0.82,0.84,0.8,0.84,139120.0,
2020-06-26,0.84,0.85,0.81,0.81,532190.0,
2020-06-29,0.81,0.81,0.8,0.8,494100.0,
2020-06-30,0.81,0.82,0.81,0.81,52750.0,
2020-07-01,0.81,0.84,0.75,0.79,319480.0,
2020-07-02,0.79,0.82,0.77,0.82,362000.0,
2020-07-03,0.82,0.82,0.78,0.8,251460.0,
2020-07-06,0.87,0.87,0.8,0.85,1135160.0,
2020-07-07,0.87,0.87,0.82,0.84,432160.0,
2020-07-08,0.85,0.85,0.81,0.82,135740.0,
2020-07-09,0.82,0.82,0.81,0.81,206120.0,
2020-07-10,0.81,0.86,0.81,0.85,448280.0,
2020-07-13,0.85,0.85,0.82,0.82,103930.0,
2020-07-14,0.84,0.92,0.83,0.9,2895700.0,
2020-07-15,0.9,0.9,0.8,0.81,2095420.0,
2020-07-16,0.81,0.83,0.77,0.8,1007350.0,
2020-07-17,0.79,0.79,0.79,0.79,270970.0,
2020-07-20,0.8,0.81,0.8,0.81,146040.0,
2020-07-21,0.8,0.81,0.79,0.8,283490.0,
2020-07-22,0.82,0.82,0.79,0.8,213320.0,
2020-07-23,0.81,0.81,0.78,0.78,243030.0,
2020-07-24,0.76,0.79,0.76,0.79,76240.0,
2020-07-27,0.79,0.79,0.77,0.77,163710.0,
2020-07-28,0.76,0.81,0.75,0.78,348340.0,
2020-07-29,0.78,0.78,0.77,0.77,214140.0,
2020-07-30,0.76,0.79,0.75,0.76,167680.0,
2020-08-03,0.77,0.77,0.75,0.77,175700.0,
2020-08-04,,,,0.77,,245000.0
2020-08-05,,,,0.77,,148000.0
2020-08-06,,,,0.76,,326000.0
2020-08-07,,,,0.77,,318000.0
2020-08-10,,,,0.77,,36000.0
2020-08-11,,,,0.76,,485000.0
2020-08-12,,,,0.78,,276000.0
2020-08-13,,,,0.78,,160000.0
2020-08-14,,,,0.77,,103000.0
2020-08-17,,,,0.8,,505000.0
2020-08-18,,,,0.85,,2272000.0
2020-08-19,,,,0.92,,4106000.0
2020-08-20,,,,0.89,,1708000.0
2020-08-24,,,,0.86,,634000.0
2020-08-25,,,,0.86,,901000.0
2020-08-26,,,,0.88,,536000.0
2020-08-27,,,,0.9,,1086000.0
2020-08-28,,,,0.87,,532000.0
2020-09-01,,,,0.93,,3832000.0
2020-09-02,,,,1.04,,11177000.0
2020-09-03,,,,1.07,,7668000.0
2020-09-04,,,,1.05,,2914000.0
2020-09-07,,,,1.1,,4540000.0
2020-09-08,,,,1.06,,3283000.0
2020-09-09,,,,1.04,,2903000.0
2020-09-10,,,,1.11,,3493000.0
2020-09-11,,,,1.15,,5496000.0
2020-09-14,,,,1.14,,3837000.0
2020-09-15,,,,1.18,,3853000.0
2020-09-16,,,,1.15,,3073000.0
2020-09-17,,,,1.12,,4389000.0
2020-09-18,,,,1.1,,2287000.0
2020-09-21,,,,1.05,,6481000.0
2020-09-22,,,,1.07,,5719000.0
2020-09-23,,,,1.04,,2317000.0
2020-09-24,,,,1.03,,1294000.0
2020-09-25,,,,1.04,,1057000.0
2020-09-28,,,,1.03,,859000.0
