dt,open,high,low,close,value,volume
2020-03-02,57.05,58.4,57.05,57.35,801079.0,
2020-03-03,57.35,57.65,57.35,57.45,905802.5,
2020-03-04,57.45,57.6,57.3,57.45,2420193.0,
2020-03-05,57.45,57.5,57.45,57.45,1342035.5,
2020-03-06,57.95,58.0,57.2,57.5,3127378.0,
2020-03-09,57.45,57.45,57.25,57.25,2094072.0,
2020-03-10,57.1,57.2,56.0,57.2,614753.5,
2020-03-11,57.3,57.5,56.0,57.3,1110711.0,
2020-03-12,51.6,56.6,51.6,56.5,1421361.5,
2020-03-13,52.0,56.6,52.0,56.1,2456294.0,
2020-03-16,52.0,56.1,52.0,55.0,1413124.0,
2020-03-19,54.0,54.0,51.6,52.1,935923.0,
2020-03-20,52.1,55.0,52.1,54.1,219543.5,
2020-03-23,54.95,54.95,52.0,52.0,889304.0,
2020-03-24,52.95,52.95,52.0,52.25,522592.5,
2020-03-25,52.3,53.95,52.1,52.3,1033190.5,
2020-03-26,53.95,53.95,52.4,52.7,765017.5,
2020-03-27,52.0,54.0,51.4,52.0,1501673.0,
2020-03-30,53.0,53.85,53.0,53.85,27789.5,
2020-03-31,53.9,53.9,53.0,53.1,856530.0,
2020-04-01,53.5,53.5,52.6,52.8,81293.0,
2020-04-02,52.6,53.75,52.6,53.7,92321.0,
2020-04-03,53.7,53.75,53.5,53.5,100950.0,
2020-04-06,53.7,53.8,53.6,53.8,125547.5,
2020-04-07,53.8,53.9,53.0,53.0,848103.5,
2020-04-08,53.85,53.9,52.85,53.8,532130.0,
2020-04-13,53.9,53.9,52.85,53.7,838565.5,
2020-04-14,53.7,56.75,53.7,55.65,219103.5,
2020-04-15,55.0,56.0,53.7,53.9,1527335.5,
2020-04-16,53.9,54.45,53.9,54.0,682463.5,
2020-04-17,54.0,54.0,53.6,54.0,75450.0,
2020-04-20,54.05,54.8,54.0,54.75,889242.5,
2020-04-21,54.85,54.85,53.6,54.85,75403.0,
2020-04-22,54.85,54.85,53.0,53.9,295417.5,
2020-04-23,54.8,54.8,54.0,54.2,573231.0,
2020-04-24,54.8,54.8,54.0,54.0,653465.0,
2020-04-27,54.75,54.8,52.0,54.4,841028.5,
2020-04-28,54.4,54.8,52.85,54.7,117626.5,
2020-04-29,54.6,54.6,53.5,53.55,218502.0,
2020-04-30,54.6,54.7,53.6,53.9,102510.5,
2020-05-04,54.0,54.7,53.5,53.5,981676.5,
2020-05-05,53.6,54.7,53.6,54.05,158776.5,
2020-05-06,54.65,54.65,54.4,54.4,35975.5,
2020-05-07,54.65,54.65,54.3,54.5,124132.5,
2020-05-08,54.5,54.5,53.65,54.0,396937.0,
2020-05-11,54.45,54.5,54.0,54.0,1008772.0,
2020-05-12,54.6,54.6,54.05,54.5,22914.5,
2020-05-13,54.6,54.6,54.0,54.0,200483.5,
2020-05-14,54.0,54.5,53.5,53.6,1049098.0,
2020-05-15,54.0,54.0,53.6,53.8,1363686.0,
2020-05-18,54.0,54.0,53.9,53.9,96003.0,
2020-05-19,54.6,54.7,54.0,54.0,85165.0,
2020-05-20,54.0,54.0,53.7,53.7,889915.0,
2020-05-21,54.7,54.7,53.7,53.95,58633.5,
2020-05-22,53.7,54.7,53.7,53.7,384613.0,
2020-05-26,53.7,54.5,53.7,53.7,48578.0,
2020-05-27,54.6,54.6,53.7,53.7,41158.5,
2020-05-28,54.0,54.0,53.7,53.95,46351.0,
2020-05-29,53.9,53.95,53.75,53.75,205887.0,
2020-06-01,53.95,54.55,53.8,53.8,280394.0,
2020-06-02,53.85,54.0,53.75,53.75,841556.0,
2020-06-03,53.7,54.15,53.7,53.8,836324.0,
2020-06-04,54.3,54.75,54.2,54.5,928225.0,
2020-06-05,54.5,54.5,53.5,54.0,1091220.0,
2020-06-08,54.0,54.35,54.0,54.2,634486.0,
2020-06-09,54.8,55.5,54.45,55.5,2686432.5,
2020-06-10,55.65,56.2,54.5,54.5,4518006.5,
2020-06-11,56.75,56.75,54.5,55.2,229059.0,
2020-06-15,55.0,55.0,54.05,54.05,526853.0,
2020-06-16,54.1,56.5,54.1,55.0,849870.5,
2020-06-17,55.1,55.9,55.0,55.0,935200.0,
2020-06-18,55.3,55.4,54.25,54.8,3251675.5,
2020-06-19,54.8,54.8,49.0,49.0,15252133.0,
2020-06-22,53.0,55.9,53.0,55.0,4250760.0,
2020-06-23,58.0,58.0,54.05,54.05,898286.0,
2020-06-24,54.95,54.95,54.1,54.25,710946.5,
2020-06-25,54.2,54.3,54.15,54.25,519669.5,
2020-06-26,54.25,54.5,54.25,54.5,701485.0,
2020-06-29,54.95,54.95,53.85,54.0,1264601.0,
2020-06-30,54.5,54.9,54.2,54.5,38669.0,
2020-07-01,54.75,54.75,54.25,54.25,67425.5,
2020-07-02,54.5,54.5,54.25,54.25,431770.0,
2020-07-03,54.75,54.75,54.3,54.75,368078.5,
2020-07-06,54.75,54.95,54.75,54.95,40608.0,
2020-07-07,54.95,54.95,53.0,54.9,12671649.0,
2020-07-08,54.9,54.95,53.65,53.65,540741.5,
2020-07-09,53.6,53.95,53.6,53.95,667421.5,
2020-07-10,53.95,54.5,53.5,54.5,391855.0,
2020-07-13,53.5,54.25,53.5,53.8,356728.0,
2020-07-14,53.5,53.5,52.85,53.0,1569877.5,
2020-07-15,52.9,53.3,52.5,53.0,362708.0,
2020-07-16,53.8,54.0,53.25,53.4,1031730.5,
2020-07-17,54.0,54.0,53.2,53.25,605464.5,
2020-07-20,53.25,53.45,53.0,53.0,296018.0,
2020-07-21,53.8,53.8,53.0,53.0,1097757.0,
