dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,0.0048,0.0048,0.0048,0.0048,24000.0,
2020-03-05,,,,,,
2020-03-06,0.0039,0.0045,0.0039,0.0045,12800.0,
2020-03-09,,,,,,
2020-03-10,0.0043,0.0043,0.0043,0.0043,4300.0,
2020-03-11,,,,,,
2020-03-12,,,,,,
2020-03-13,0.004,0.004,0.004,0.004,4000.0,
2020-03-16,0.004,0.004,0.004,0.004,4000.0,
2020-03-19,,,,,,
2020-03-20,,,,,,
2020-03-23,,,,,,
2020-03-24,0.0042,0.0042,0.0042,0.0042,16800.0,
2020-03-25,0.0041,0.0041,0.0041,0.0041,12300.0,
2020-03-26,,,,,,
2020-03-27,,,,,,
2020-03-30,,,,,,
2020-03-31,0.0041,0.0041,0.0041,0.0041,4100.0,
2020-04-01,0.004,0.004,0.0032,0.0032,41500.0,
2020-04-02,0.0037,0.0037,0.0037,0.0037,3700.0,
2020-04-03,,,,,,
2020-04-06,0.0036,0.0039,0.0036,0.0039,245400.0,
2020-04-07,0.0039,0.004,0.0039,0.004,23700.0,
2020-04-08,0.0045,0.0045,0.0045,0.0045,22500.0,
2020-04-13,0.0041,0.0043,0.0041,0.0041,41300.0,
2020-04-14,,,,,,
2020-04-15,0.004,0.0042,0.004,0.0042,16400.0,
2020-04-16,0.0041,0.0041,0.004,0.004,20200.0,
2020-04-17,0.0041,0.0041,0.004,0.004,68200.0,
2020-04-20,0.004,0.0042,0.004,0.0042,24600.0,
2020-04-21,,,,,,
2020-04-22,0.0042,0.0042,0.004,0.004,64400.0,
2020-04-23,0.004,0.004,0.004,0.004,368000.0,
2020-04-24,0.004,0.004,0.004,0.004,64000.0,
2020-04-27,0.0042,0.0042,0.0042,0.0042,4200.0,
2020-04-28,0.004,0.004,0.004,0.004,60000.0,
2020-04-29,0.0042,0.0042,0.0042,0.0042,16800.0,
2020-04-30,0.0042,0.0042,0.0041,0.0041,16500.0,
2020-05-04,,,,,,
2020-05-05,,,,,,
2020-05-06,,,,,,
2020-05-07,,,,,,
2020-05-08,0.0041,0.0041,0.0041,0.0041,8200.0,
2020-05-11,,,,,,
2020-05-12,,,,,,
2020-05-13,0.0043,0.0043,0.0043,0.0043,4300.0,
2020-05-14,0.0043,0.0043,0.004,0.004,24700.0,
2020-05-15,0.0043,0.0043,0.0041,0.0041,12500.0,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,0.0042,0.0042,0.0042,0.0042,8400.0,
2020-05-21,,,,,,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,,,,,,
2020-05-28,,,,,,
2020-05-29,,,,,,
2020-06-01,0.004,0.004,0.004,0.004,204000.0,
2020-06-02,,,,,,
2020-06-03,,,,,,
2020-06-04,0.0037,0.0039,0.0037,0.0039,18900.0,
2020-06-05,,,,,,
2020-06-08,0.0037,0.0042,0.0037,0.0042,19000.0,
2020-06-09,0.0043,0.0043,0.0042,0.0042,25600.0,
2020-06-10,,,,,,
2020-06-11,0.0039,0.0039,0.0038,0.0038,15500.0,
2020-06-15,,,,,,
2020-06-16,,,,,,
2020-06-17,0.004,0.004,0.004,0.004,16000.0,
2020-06-18,0.0039,0.0039,0.0039,0.0039,7800.0,
2020-06-19,0.0038,0.0039,0.0038,0.0038,42400.0,
2020-06-22,0.0038,0.0038,0.0038,0.0038,11400.0,
2020-06-23,0.0038,0.0039,0.0038,0.0039,80500.0,
2020-06-24,0.0039,0.0039,0.0039,0.0039,19500.0,
2020-06-25,,,,,,
2020-06-26,0.0038,0.0038,0.0038,0.0038,38000.0,
2020-06-29,0.0038,0.0038,0.0038,0.0038,34200.0,
2020-06-30,0.0039,0.0039,0.0038,0.0038,132400.0,
2020-07-01,0.0037,0.0037,0.0037,0.0037,7400.0,
2020-07-02,,,,,,
2020-07-03,0.0037,0.0037,0.0037,0.0037,3700.0,
2020-07-06,,,,,,
2020-07-07,0.0038,0.0038,0.0037,0.0037,66800.0,
2020-07-08,,,,,,
2020-07-09,0.004,0.0055,0.004,0.0055,1848100.0,
2020-07-10,0.006,0.008,0.0054,0.0064,9508300.0,
2020-07-13,0.0055,0.006,0.0045,0.0053,728800.0,
2020-07-14,0.0051,0.0051,0.004,0.0043,968800.0,
2020-07-15,0.004,0.0042,0.0038,0.004,114900.0,
2020-07-16,0.0039,0.004,0.0039,0.004,59800.0,
2020-07-17,0.004,0.004,0.0038,0.0039,11700.0,
2020-07-20,0.0037,0.0037,0.0037,0.0037,114700.0,
2020-07-21,0.0038,0.0055,0.0038,0.0055,2822800.0,
2020-07-22,0.006,0.006,0.0047,0.0048,3582200.0,
2020-07-23,0.005,0.0055,0.0048,0.005,1088300.0,
2020-07-24,0.005,0.0052,0.0047,0.0048,432000.0,
2020-07-27,0.0049,0.0057,0.0048,0.0053,1308800.0,
2020-07-28,0.0055,0.0064,0.0055,0.0059,2043300.0,
2020-07-29,0.0059,0.006,0.0051,0.0052,670000.0,
2020-07-30,0.0054,0.0057,0.0053,0.0054,432000.0,
2020-08-03,0.0055,0.0056,0.0052,0.0052,566000.0,
2020-08-04,,,,0.0052,,4000000.0
2020-08-05,,,,0.0054,,121000000.0
2020-08-06,,,,0.0056,,64000000.0
2020-08-07,,,,0.0056,,150000000.0
2020-08-10,,,,0.0059,,2067000000.0
2020-08-11,,,,0.006,,42000000.0
2020-08-12,,,,0.0055,,135000000.0
2020-08-13,,,,0.0055,,12000000.0
2020-08-14,,,,0.0055,,59000000.0
2020-08-17,,,,0.0055,,2000000.0
2020-08-18,,,,0.0055,,15000000.0
2020-08-19,,,,0.0055,,19000000.0
2020-08-20,,,,0.0053,,5000000.0
2020-08-24,,,,0.0051,,46000000.0
2020-08-25,,,,0.0051,,14000000.0
2020-08-26,,,,0.0049,,65000000.0
2020-08-27,,,,0.0053,,21000000.0
2020-08-28,,,,0.005,,28000000.0
2020-09-01,,,,0.005,,17000000.0
2020-09-03,,,,0.0049,,16000000.0
2020-09-07,,,,0.0049,,6000000.0
2020-09-08,,,,0.0049,,6000000.0
2020-09-09,,,,0.0049,,5000000.0
2020-09-10,,,,0.0049,,6000000.0
2020-09-11,,,,0.0048,,8000000.0
2020-09-14,,,,0.0049,,19000000.0
2020-09-15,,,,0.005,,19000000.0
2020-09-18,,,,0.0048,,1000000.0
2020-09-21,,,,0.0048,,17000000.0
2020-09-22,,,,0.0048,,8000000.0
2020-09-23,,,,0.0047,,4000000.0
2020-09-24,,,,0.0046,,31000000.0
2020-09-25,,,,0.0045,,1000000.0
2020-09-28,,,,0.0044,,12000000.0
