dt,open,high,low,close,value,volume
2020-03-02,141.4,141.4,138.3,138.6,195224128.0,
2020-03-03,139.3,141.5,134.0,134.0,253651336.0,
2020-03-04,134.2,134.2,129.1,130.9,212831633.0,
2020-03-05,133.0,135.0,131.7,132.3,190310032.0,
2020-03-06,133.0,135.0,131.9,133.0,90532595.0,
2020-03-09,130.3,130.6,121.8,121.8,103014234.0,
2020-03-10,115.0,123.0,114.7,117.5,285860364.0,
2020-03-11,121.0,122.9,119.1,120.0,200310514.0,
2020-03-12,115.3,119.8,112.1,116.0,153546739.0,
2020-03-13,109.1,121.7,100.0,119.0,353534841.0,
2020-03-16,116.0,126.8,110.0,120.0,375785217.0,
2020-03-19,95.9,121.9,82.0,110.0,276498757.5,
2020-03-20,112.0,118.0,105.0,108.7,217175134.0,
2020-03-23,100.0,105.4,98.2,103.3,151300900.0,
2020-03-24,106.0,108.0,95.05,95.05,138649740.0,
2020-03-25,98.15,100.8,96.85,98.4,232693525.5,
2020-03-26,99.0,100.5,98.1,99.0,450739209.5,
2020-03-27,103.1,105.0,95.5,98.0,324287059.0,
2020-03-30,98.15,98.15,95.0,97.6,148409648.0,
2020-03-31,98.15,104.0,98.0,104.0,377714279.5,
2020-04-01,103.3,107.4,102.0,104.0,268788410.0,
2020-04-02,101.5,103.5,99.0,101.5,153867476.5,
2020-04-03,102.9,104.8,102.2,103.0,81131660.0,
2020-04-06,104.4,116.7,104.0,116.7,295685394.0,
2020-04-07,117.5,122.6,117.5,122.6,255275976.0,
2020-04-08,121.8,122.0,116.0,122.0,200659488.0,
2020-04-13,123.0,126.0,119.6,125.8,121935166.0,
2020-04-14,126.0,132.0,125.8,132.0,117866768.0,
2020-04-15,132.7,134.8,128.8,131.2,292412699.0,
2020-04-16,129.0,129.0,120.0,120.0,416096569.0,
2020-04-17,124.8,126.8,123.2,126.8,235914015.0,
2020-04-20,126.8,127.2,122.0,122.1,172937652.0,
2020-04-21,121.9,121.9,118.0,119.4,126293667.0,
2020-04-22,118.5,122.0,115.2,118.0,124043685.0,
2020-04-23,122.0,123.4,118.0,118.0,72910404.0,
2020-04-24,120.0,120.0,116.5,118.4,135349064.0,
2020-04-27,118.0,121.0,116.6,121.0,131934485.0,
