dt,open,high,low,close,value,volume
2020-03-02,1.12,1.12,1.09,1.11,2516530.0,
2020-03-03,1.11,1.14,1.1,1.13,718740.0,
2020-03-04,1.13,1.13,1.1,1.1,1159160.0,
2020-03-05,1.1,1.17,1.1,1.14,6990660.0,
2020-03-06,1.15,1.19,1.12,1.17,14890580.0,
2020-03-09,1.15,1.15,1.04,1.05,6119300.0,
2020-03-10,1.04,1.05,0.88,1.03,4022090.0,
2020-03-11,1.05,1.08,1.05,1.08,7030800.0,
2020-03-12,1.07,1.07,0.96,1.01,2964120.0,
2020-03-13,0.98,1.01,0.84,1.0,2700680.0,
2020-03-16,0.95,0.99,0.8,0.83,7563160.0,
2020-03-19,0.77,0.77,0.63,0.71,3018420.0,
2020-03-20,0.71,0.74,0.71,0.72,1288970.0,
2020-03-23,0.7,0.75,0.66,0.73,5843300.0,
2020-03-24,0.73,0.76,0.73,0.76,382260.0,
2020-03-25,0.77,0.8,0.76,0.8,1179710.0,
2020-03-26,0.81,0.94,0.79,0.87,12408140.0,
2020-03-27,0.87,0.92,0.86,0.88,20719650.0,
2020-03-30,0.87,0.87,0.82,0.86,684970.0,
2020-03-31,0.87,0.89,0.86,0.87,431700.0,
2020-04-01,0.88,0.92,0.87,0.9,20632120.0,
2020-04-02,0.9,0.9,0.86,0.87,756250.0,
2020-04-03,0.89,0.9,0.84,0.86,1117850.0,
2020-04-06,0.85,0.86,0.84,0.85,946060.0,
2020-04-07,0.86,0.86,0.8,0.8,8010960.0,
2020-04-08,0.8,0.8,0.75,0.77,2211990.0,
2020-04-13,0.77,0.8,0.77,0.79,1902180.0,
2020-04-14,0.8,0.81,0.78,0.81,5441780.0,
2020-04-15,0.82,0.86,0.81,0.84,16852980.0,
2020-04-16,0.84,0.85,0.81,0.81,2926770.0,
2020-04-17,0.81,0.83,0.8,0.82,13465600.0,
2020-04-20,0.82,0.88,0.81,0.87,9298990.0,
2020-04-21,0.87,0.87,0.82,0.85,4751050.0,
2020-04-22,0.83,0.84,0.79,0.81,4530500.0,
2020-04-23,0.81,0.85,0.81,0.82,2462950.0,
2020-04-24,0.83,0.83,0.8,0.81,1984590.0,
2020-04-27,0.8,0.82,0.8,0.82,8811600.0,
2020-04-28,0.83,0.87,0.83,0.84,12560370.0,
2020-04-29,0.86,0.87,0.83,0.85,4096710.0,
2020-04-30,0.86,0.86,0.83,0.86,6850010.0,
2020-05-04,0.84,0.84,0.8,0.8,5214510.0,
2020-05-05,0.82,0.83,0.81,0.82,1579340.0,
2020-05-06,0.81,0.82,0.8,0.81,2000760.0,
2020-05-07,0.82,0.84,0.81,0.83,2254110.0,
2020-05-08,0.84,0.85,0.82,0.82,3100160.0,
2020-05-11,0.83,0.84,0.81,0.83,1491090.0,
2020-05-12,0.83,0.83,0.81,0.82,624160.0,
2020-05-13,0.81,0.81,0.8,0.8,2466840.0,
2020-05-14,0.8,0.82,0.8,0.81,991970.0,
2020-05-15,0.8,0.81,0.8,0.81,592230.0,
2020-05-18,0.81,0.82,0.79,0.79,1491980.0,
2020-05-19,0.79,0.8,0.79,0.79,1311640.0,
2020-05-20,0.78,0.8,0.78,0.79,1773120.0,
2020-05-21,0.79,0.81,0.79,0.81,186940.0,
2020-05-22,0.8,0.81,0.78,0.79,450210.0,
2020-05-26,0.79,0.8,0.75,0.76,12432820.0,
2020-05-27,0.76,0.8,0.76,0.79,50344830.0,
2020-05-28,0.8,0.81,0.76,0.79,6374850.0,
2020-05-29,0.79,0.8,0.77,0.79,11151510.0,
2020-06-01,0.78,0.79,0.77,0.79,8978110.0,
2020-06-02,0.79,0.8,0.77,0.8,21030380.0,
2020-06-03,0.81,0.86,0.81,0.85,43527800.0,
2020-06-04,0.86,0.88,0.84,0.87,10273920.0,
2020-06-05,0.85,0.87,0.83,0.87,16621250.0,
2020-06-08,0.87,0.89,0.85,0.87,7267590.0,
2020-06-09,0.88,0.93,0.87,0.92,7700140.0,
2020-06-10,0.92,0.92,0.85,0.87,6325670.0,
2020-06-11,0.87,0.88,0.83,0.88,4806400.0,
2020-06-15,0.84,0.84,0.79,0.81,8744660.0,
2020-06-16,0.82,0.83,0.8,0.82,6092110.0,
