dt,open,high,low,close,value,volume
2020-03-02,6.2,6.58,6.01,6.58,12336608.0,
2020-03-03,6.52,6.64,6.43,6.56,7159305.0,
2020-03-04,6.67,6.77,6.39,6.5,11717728.0,
2020-03-05,6.77,6.77,6.44,6.49,15703443.0,
2020-03-06,6.52,6.64,6.44,6.64,5368634.0,
2020-03-09,6.41,6.5,6.2,6.25,105260421.0,
2020-03-10,6.2,6.58,6.01,6.58,87667644.0,
2020-03-11,6.57,6.58,6.25,6.3,148763176.0,
2020-03-12,6.3,6.3,5.8,5.8,95601336.0,
2020-03-13,5.8,5.8,5.13,5.55,96925162.0,
2020-03-16,5.55,5.64,5.11,5.38,3026686.0,
2020-03-19,5.0,5.0,3.61,3.61,15036065.0,
2020-03-20,3.63,4.19,3.2,3.4,9609610.0,
2020-03-23,3.4,3.4,3.07,3.07,9191460.0,
2020-03-24,3.07,3.28,3.02,3.2,8384270.0,
2020-03-25,3.4,3.43,3.32,3.36,7976950.0,
2020-03-26,3.46,3.75,3.36,3.36,15722460.0,
2020-03-27,3.51,4.32,3.51,4.28,26764430.0,
2020-03-30,4.24,4.24,3.78,3.91,6987520.0,
2020-03-31,4.21,4.32,4.0,4.08,11446280.0,
2020-04-01,4.01,4.18,3.9,4.06,3998410.0,
2020-04-02,4.03,4.12,4.02,4.09,2380540.0,
2020-04-03,4.23,4.24,4.03,4.03,1357180.0,
2020-04-06,4.04,4.14,4.03,4.08,7798390.0,
2020-04-07,4.16,4.17,4.1,4.12,5003030.0,
2020-04-08,4.11,4.11,3.91,3.93,10752120.0,
2020-04-13,3.93,4.0,3.88,3.93,5154150.0,
2020-04-14,3.95,4.13,3.95,4.04,10275920.0,
2020-04-15,4.14,4.35,4.06,4.06,11748480.0,
2020-04-16,4.13,4.13,3.96,3.96,7941580.0,
2020-04-17,3.99,4.09,3.99,4.07,5738620.0,
2020-04-20,4.12,4.3,4.06,4.15,7457280.0,
2020-04-21,4.15,4.23,4.04,4.09,4252030.0,
2020-04-22,4.12,4.12,4.02,4.08,4716910.0,
2020-04-23,4.1,4.17,4.06,4.08,14550680.0,
2020-04-24,4.1,4.15,4.02,4.06,2892200.0,
2020-04-27,4.09,4.1,4.0,4.0,6132880.0,
2020-04-28,4.0,4.18,4.0,4.08,2541380.0,
2020-04-29,4.07,4.18,4.04,4.13,3689320.0,
2020-04-30,4.13,4.41,4.08,4.31,17951150.0,
2020-05-04,4.37,4.4,4.02,4.03,14142250.0,
2020-05-05,4.07,4.09,4.03,4.04,15198780.0,
2020-05-06,4.08,4.09,3.98,3.98,10811230.0,
2020-05-07,4.01,4.03,3.89,3.94,9087730.0,
2020-05-08,3.94,3.95,3.89,3.92,4865960.0,
2020-05-11,3.97,3.97,3.81,3.82,15379310.0,
2020-05-12,3.84,3.89,3.8,3.8,6246510.0,
2020-05-13,3.87,3.87,3.8,3.82,1822240.0,
2020-05-14,3.81,3.81,3.7,3.77,2133220.0,
2020-05-15,3.8,3.82,3.6,3.6,6457770.0,
2020-05-18,3.62,3.75,3.48,3.7,7153370.0,
2020-05-19,3.77,3.77,3.53,3.53,6709740.0,
2020-05-20,3.55,3.56,3.44,3.48,5000680.0,
2020-05-21,3.43,3.47,3.36,3.39,6168780.0,
2020-05-22,3.4,3.4,3.36,3.36,5253010.0,
2020-05-26,3.39,3.44,3.3,3.35,11918330.0,
2020-05-27,3.35,3.41,3.2,3.32,5191870.0,
2020-05-28,3.37,3.55,3.3,3.4,16213120.0,
2020-05-29,3.55,3.55,3.25,3.25,20014400.0,
2020-06-01,3.4,3.42,3.32,3.39,10605650.0,
2020-06-02,3.49,3.57,3.4,3.57,14995440.0,
2020-06-03,3.6,3.65,3.53,3.6,24460280.0,
2020-06-04,3.74,3.8,3.66,3.79,23960550.0,
2020-06-05,3.85,4.45,3.8,4.1,55777530.0,
2020-06-08,4.22,4.4,4.15,4.3,25537430.0,
2020-06-09,4.37,4.45,4.15,4.41,21181660.0,
2020-06-10,4.38,4.38,4.12,4.21,10749740.0,
2020-06-11,4.19,4.19,3.89,4.1,15607090.0,
2020-06-15,4.07,4.08,3.82,3.82,20768610.0,
2020-06-16,3.91,3.96,3.84,3.91,13136330.0,
2020-06-17,4.06,4.07,3.96,3.98,5106380.0,
2020-06-18,4.06,4.06,3.95,3.99,2929130.0,
2020-06-19,4.0,4.0,3.9,3.9,16735840.0,
2020-06-22,3.9,3.98,3.9,3.96,3517990.0,
2020-06-23,3.97,4.02,3.92,3.92,4696440.0,
2020-06-24,3.93,4.0,3.9,3.9,4819580.0,
2020-06-25,3.9,3.95,3.83,3.9,2473890.0,
2020-06-26,3.88,3.88,3.8,3.8,3910680.0,
2020-06-29,3.8,3.8,3.61,3.71,5908950.0,
2020-06-30,3.7,3.85,3.69,3.69,7222880.0,
2020-07-01,3.7,3.83,3.66,3.82,3640800.0,
2020-07-02,3.8,3.92,3.74,3.8,5570360.0,
2020-07-03,3.87,4.03,3.86,3.97,6607950.0,
2020-07-06,4.05,4.05,3.95,3.97,3857870.0,
2020-07-07,3.97,3.99,3.9,3.9,1940420.0,
2020-07-08,3.9,3.92,3.87,3.9,1762090.0,
2020-07-09,3.9,3.9,3.72,3.72,6748550.0,
2020-07-10,3.72,3.74,3.7,3.74,12092250.0,
2020-07-13,3.74,3.77,3.67,3.74,1471480.0,
2020-07-14,3.75,3.75,3.67,3.7,3913320.0,
2020-07-15,3.72,3.72,3.5,3.55,7000000.0,
2020-07-16,3.55,3.63,3.54,3.59,4166020.0,
2020-07-17,3.65,3.65,3.56,3.57,1298460.0,
2020-07-20,3.56,3.72,3.56,3.59,1816510.0,
2020-07-21,3.6,3.66,3.6,3.66,2348550.0,
2020-07-22,3.69,3.71,3.61,3.61,2398410.0,
2020-07-23,3.65,3.65,3.51,3.58,3114190.0,
2020-07-24,3.5,3.6,3.5,3.55,1306890.0,
2020-07-27,3.55,3.57,3.18,3.2,19925800.0,
2020-07-28,3.23,3.38,3.04,3.08,21295200.0,
2020-07-29,3.12,3.26,3.03,3.06,19696990.0,
2020-07-30,3.13,3.19,3.07,3.12,12056120.0,
2020-08-03,3.1,3.1,2.86,2.91,19502010.0,
2020-08-04,,,,2.92,,4190000.0
2020-08-05,,,,2.93,,4420000.0
2020-08-06,,,,2.95,,4174000.0
2020-08-07,,,,3.01,,1506000.0
2020-08-10,,,,3.16,,2696000.0
2020-08-11,,,,3.28,,3138000.0
2020-08-12,,,,3.26,,2540000.0
2020-08-13,,,,3.27,,1082000.0
2020-08-14,,,,3.3,,1778000.0
2020-08-17,,,,3.34,,2139000.0
2020-08-18,,,,3.34,,1441000.0
2020-08-19,,,,3.28,,2077000.0
2020-08-20,,,,3.17,,2555000.0
2020-08-24,,,,3.15,,2000000.0
2020-08-25,,,,3.1,,1929000.0
2020-08-26,,,,3.14,,969000.0
2020-08-27,,,,3.13,,858000.0
2020-08-28,,,,3.02,,2674000.0
2020-09-01,,,,3.09,,918000.0
2020-09-02,,,,3.08,,1045000.0
2020-09-03,,,,3.05,,1192000.0
2020-09-04,,,,3.04,,953000.0
2020-09-07,,,,3.15,,2470000.0
2020-09-08,,,,3.26,,2075000.0
2020-09-09,,,,3.29,,1945000.0
2020-09-10,,,,3.33,,3425000.0
2020-09-11,,,,3.31,,1315000.0
2020-09-14,,,,3.28,,1178000.0
2020-09-15,,,,3.24,,1578000.0
2020-09-16,,,,3.25,,947000.0
2020-09-17,,,,3.25,,597000.0
2020-09-18,,,,3.3,,1098000.0
2020-09-21,,,,3.4,,3356000.0
2020-09-22,,,,3.35,,2918000.0
2020-09-23,,,,3.53,,5676000.0
2020-09-24,,,,3.49,,1483000.0
2020-09-25,,,,3.51,,1686000.0
2020-09-28,,,,3.46,,2190000.0
