dt,open,high,low,close,value,volume
2020-03-02,,,,,,
2020-03-03,,,,,,
2020-03-04,,,,,,
2020-03-05,,,,,,
2020-03-06,2.5,2.5,2.4,2.4,355800.0,
2020-03-09,2.4,2.55,2.4,2.42,462720.0,
2020-03-10,2.4,2.5,2.4,2.5,295300.0,
2020-03-11,,,,,,
2020-03-12,2.42,2.42,2.4,2.4,859460.0,
2020-03-13,2.4,2.4,2.35,2.35,1935400.0,
2020-03-16,2.35,2.35,2.2,2.2,1810700.0,
2020-03-19,2.2,2.2,2.2,2.2,132000.0,
2020-03-20,2.2,2.2,2.2,2.2,237600.0,
2020-03-23,,,,,,
2020-03-24,,,,,,
2020-03-25,,,,,,
2020-03-26,2.11,2.11,2.11,2.11,44310.0,
2020-03-27,2.51,2.51,2.51,2.51,5020.0,
2020-03-30,2.2,2.52,2.2,2.52,26720.0,
2020-03-31,,,,,,
2020-04-01,,,,,,
2020-04-02,,,,,,
2020-04-03,2.51,2.8,2.51,2.8,412930.0,
2020-04-06,2.78,2.78,2.35,2.7,191880.0,
2020-04-07,,,,,,
2020-04-08,2.21,2.52,2.21,2.49,78490.0,
2020-04-13,,,,,,
2020-04-14,2.65,2.65,2.33,2.35,106620.0,
2020-04-15,2.35,2.5,2.31,2.31,86540.0,
2020-04-16,2.49,2.49,2.49,2.49,2490.0,
2020-04-17,,,,,,
2020-04-20,,,,,,
2020-04-21,2.35,2.49,2.35,2.49,34660.0,
2020-04-22,,,,,,
2020-04-23,,,,,,
2020-04-24,,,,,,
2020-04-27,2.31,2.5,2.31,2.5,18670.0,
2020-04-28,,,,,,
2020-04-29,2.5,2.5,2.5,2.5,2500.0,
2020-04-30,,,,,,
2020-05-04,2.49,2.49,2.49,2.49,39840.0,
2020-05-05,,,,,,
2020-05-06,2.31,2.46,2.21,2.21,48720.0,
2020-05-07,,,,,,
2020-05-08,2.22,2.22,2.22,2.22,22200.0,
2020-05-11,2.22,2.22,2.22,2.22,6660.0,
2020-05-12,2.22,2.22,2.21,2.21,44210.0,
2020-05-13,2.3,2.3,2.3,2.3,46000.0,
2020-05-14,2.3,2.3,2.3,2.3,6900.0,
2020-05-15,,,,,,
2020-05-18,,,,,,
2020-05-19,,,,,,
2020-05-20,2.3,2.3,2.3,2.3,46000.0,
2020-05-21,2.21,2.21,2.21,2.21,28730.0,
2020-05-22,,,,,,
2020-05-26,,,,,,
2020-05-27,2.25,2.25,2.21,2.21,117170.0,
2020-05-28,,,,,,
2020-05-29,2.36,2.36,2.36,2.36,2360.0,
2020-06-01,,,,,,
2020-06-02,,,,,,
2020-06-03,2.23,2.33,2.22,2.33,15780.0,
2020-06-04,,,,,,
2020-06-05,2.39,2.39,2.39,2.39,23900.0,
2020-06-08,2.23,2.39,2.23,2.39,4620.0,
2020-06-09,2.39,2.4,2.39,2.4,23920.0,
2020-06-10,,,,,,
2020-06-11,,,,,,
2020-06-15,,,,,,
2020-06-16,,,,,,
2020-06-17,2.4,2.45,2.4,2.45,28950.0,
2020-06-18,,,,,,
2020-06-19,,,,,,
2020-06-22,2.45,2.45,2.45,2.45,4900.0,
2020-06-23,2.45,2.45,2.45,2.45,2450.0,
2020-06-24,,,,,,
2020-06-25,,,,,,
2020-06-26,,,,,,
2020-06-29,,,,,,
2020-06-30,,,,,,
2020-07-01,,,,,,
2020-07-02,2.3,2.3,2.3,2.3,39100.0,
2020-07-03,,,,,,
2020-07-06,,,,,,
2020-07-07,,,,,,
2020-07-08,,,,,,
2020-07-09,,,,,,
2020-07-10,2.45,2.95,2.23,2.43,642550.0,
2020-07-13,2.28,2.53,2.28,2.53,9370.0,
2020-07-14,2.26,2.26,2.2,2.24,26750.0,
2020-07-15,2.24,2.24,2.2,2.22,73440.0,
2020-07-16,,,,,,
2020-07-17,2.24,2.24,2.24,2.24,22400.0,
2020-07-20,,,,,,
2020-07-21,2.22,2.22,2.22,2.22,4440.0,
2020-07-22,,,,,,
2020-07-23,,,,,,
2020-07-24,2.24,2.24,2.24,2.24,24640.0,
2020-07-27,2.24,2.24,2.24,2.24,17920.0,
2020-07-28,,,,,,
2020-07-29,,,,,,
2020-07-30,,,,,,
2020-08-03,,,,,,
2020-08-06,,,,2.22,,3000.0
2020-08-07,,,,2.3,,14000.0
2020-08-10,,,,2.3,,4000.0
2020-08-13,,,,2.3,,1000.0
2020-08-18,,,,2.31,,2000.0
2020-08-20,,,,2.39,,1000.0
2020-08-25,,,,2.23,,1000.0
2020-08-27,,,,2.4,,2000.0
2020-08-28,,,,2.22,,41000.0
2020-09-01,,,,2.35,,3000.0
2020-09-09,,,,2.24,,10000.0
2020-09-10,,,,2.24,,10000.0
2020-09-11,,,,2.3,,2000.0
2020-09-15,,,,2.24,,221000.0
2020-09-17,,,,2.24,,68000.0
2020-09-18,,,,2.23,,14000.0
2020-09-23,,,,2.24,,7000.0
2020-09-24,,,,2.23,,3000.0
2020-09-28,,,,2.35,,1000.0
