dt,open,high,low,close,value,volume
2020-03-02,0.93,0.95,0.91,0.94,670840.0,
2020-03-03,0.92,0.97,0.92,0.96,814040.0,
2020-03-04,0.93,0.96,0.93,0.94,166950.0,
2020-03-05,0.95,0.96,0.93,0.96,445920.0,
2020-03-06,0.95,0.96,0.9,0.93,716490.0,
2020-03-09,0.88,0.89,0.78,0.79,1922200.0,
2020-03-10,0.78,0.78,0.68,0.73,1355830.0,
2020-03-11,0.78,0.78,0.69,0.7,1331480.0,
2020-03-12,0.7,0.7,0.55,0.55,1239410.0,
2020-03-13,0.5,0.61,0.5,0.6,725700.0,
2020-03-16,0.58,0.58,0.51,0.55,1014400.0,
2020-03-19,0.5,0.5,0.48,0.48,537760.0,
2020-03-20,0.48,0.53,0.48,0.52,30100.0,
2020-03-23,0.52,0.54,0.49,0.51,264610.0,
2020-03-24,0.52,0.55,0.52,0.54,37350.0,
2020-03-25,0.59,0.59,0.53,0.57,251900.0,
2020-03-26,0.57,0.61,0.57,0.6,481050.0,
2020-03-27,0.62,0.63,0.57,0.6,344630.0,
2020-03-30,0.58,0.58,0.57,0.57,23390.0,
2020-03-31,0.57,0.6,0.57,0.58,244460.0,
2020-04-01,0.57,0.61,0.51,0.59,131240.0,
2020-04-02,0.54,0.57,0.54,0.56,262700.0,
2020-04-03,0.55,0.57,0.55,0.57,138090.0,
2020-04-06,0.56,0.59,0.56,0.57,341850.0,
2020-04-07,0.58,0.65,0.58,0.58,1078450.0,
2020-04-08,0.58,0.61,0.56,0.6,992090.0,
2020-04-13,0.6,0.65,0.57,0.59,533650.0,
2020-04-14,0.6,0.72,0.6,0.67,1462830.0,
2020-04-15,0.67,0.72,0.67,0.7,982870.0,
2020-04-16,0.71,0.72,0.65,0.69,813450.0,
2020-04-17,0.68,0.74,0.68,0.71,708380.0,
2020-04-20,0.71,0.73,0.7,0.73,447990.0,
2020-04-21,0.73,0.73,0.7,0.7,440470.0,
2020-04-22,0.72,0.72,0.69,0.71,300580.0,
2020-04-23,0.68,0.72,0.68,0.7,331900.0,
2020-04-24,0.7,0.72,0.69,0.69,218980.0,
2020-04-27,0.71,0.73,0.71,0.73,563290.0,
2020-04-28,0.73,0.8,0.71,0.73,3670650.0,
2020-04-29,0.72,0.75,0.71,0.73,874220.0,
2020-04-30,0.74,0.74,0.71,0.73,473030.0,
2020-05-04,0.71,0.71,0.67,0.67,2146360.0,
2020-05-05,0.71,0.71,0.66,0.68,201460.0,
2020-05-06,0.68,0.69,0.67,0.69,271330.0,
2020-05-07,0.69,0.69,0.67,0.69,133830.0,
2020-05-08,0.66,0.7,0.64,0.66,705030.0,
2020-05-11,0.65,0.66,0.65,0.66,203270.0,
2020-05-12,0.65,0.66,0.65,0.66,154210.0,
2020-05-13,0.65,0.68,0.65,0.68,189760.0,
2020-05-14,0.64,0.66,0.64,0.66,12900.0,
2020-05-15,0.67,0.67,0.64,0.66,230870.0,
2020-05-18,0.64,0.66,0.64,0.64,15420.0,
2020-05-19,0.64,0.66,0.63,0.64,335400.0,
2020-05-20,0.65,0.66,0.63,0.63,183830.0,
2020-05-21,0.62,0.63,0.62,0.63,28340.0,
2020-05-22,0.66,0.66,0.63,0.63,94070.0,
2020-05-26,0.63,0.63,0.63,0.63,160650.0,
2020-05-27,0.63,0.63,0.62,0.63,111200.0,
2020-05-28,0.62,0.63,0.62,0.63,245560.0,
2020-05-29,0.63,0.63,0.63,0.63,55440.0,
2020-06-01,0.61,0.62,0.61,0.61,91240.0,
2020-06-02,0.63,0.63,0.61,0.61,975360.0,
2020-06-03,0.62,0.65,0.61,0.64,1478380.0,
2020-06-04,0.65,0.66,0.63,0.65,621770.0,
2020-06-05,0.66,0.66,0.65,0.65,198100.0,
2020-06-08,0.65,0.69,0.65,0.68,1399240.0,
2020-06-09,0.69,0.73,0.69,0.7,1926940.0,
2020-06-10,0.71,0.73,0.7,0.71,2650080.0,
2020-06-11,0.71,0.72,0.7,0.72,1107530.0,
2020-06-15,0.71,0.71,0.64,0.69,802640.0,
2020-06-16,0.69,0.82,0.69,0.76,4393140.0,
2020-06-17,0.8,0.84,0.75,0.79,2639850.0,
2020-06-18,0.82,0.82,0.74,0.74,838260.0,
2020-06-19,0.76,0.8,0.74,0.78,340020.0,
2020-06-22,0.79,0.81,0.78,0.79,962400.0,
2020-06-23,0.8,0.9,0.79,0.86,5160110.0,
2020-06-24,0.88,0.88,0.82,0.86,1306700.0,
2020-06-25,0.85,0.87,0.84,0.85,1267960.0,
2020-06-26,0.85,0.87,0.85,0.87,984860.0,
2020-06-29,0.87,0.87,0.83,0.84,477910.0,
2020-06-30,0.83,0.84,0.8,0.82,598440.0,
