dt,open,high,low,close,value,volume
2020-03-02,2.38,2.44,2.3,2.36,2906550.0,
2020-03-03,2.42,2.46,2.3,2.39,2442960.0,
2020-03-04,2.3,2.34,2.26,2.3,2815230.0,
2020-03-05,2.35,2.37,2.29,2.3,1375860.0,
2020-03-06,2.32,2.32,2.25,2.3,1068570.0,
2020-03-09,2.29,2.29,1.9,1.98,3716940.0,
2020-03-10,1.89,2.03,1.84,1.98,2204530.0,
2020-03-11,2.0,2.06,1.88,1.93,10943780.0,
2020-03-12,1.88,1.99,1.52,1.52,3410770.0,
2020-03-13,1.49,1.49,1.2,1.48,3955480.0,
2020-03-16,1.34,1.39,1.27,1.34,1103010.0,
2020-03-19,1.2,1.27,1.1,1.12,1036660.0,
2020-03-20,1.26,1.48,1.26,1.3,1502360.0,
2020-03-23,1.3,1.35,1.2,1.25,817900.0,
2020-03-24,1.3,1.33,1.27,1.31,497220.0,
2020-03-25,1.4,1.42,1.32,1.42,1561620.0,
2020-03-26,1.45,1.68,1.4,1.6,6075030.0,
2020-03-27,1.65,1.77,1.54,1.6,3628460.0,
2020-03-30,1.6,1.6,1.41,1.44,2179800.0,
2020-03-31,1.51,1.6,1.51,1.56,2050730.0,
2020-04-01,1.56,1.56,1.48,1.55,1431140.0,
2020-04-02,1.5,1.59,1.5,1.58,1094040.0,
2020-04-03,1.63,1.63,1.53,1.58,959810.0,
2020-04-06,1.55,1.58,1.5,1.57,491960.0,
2020-04-07,1.59,1.69,1.58,1.69,2416580.0,
2020-04-08,1.75,2.22,1.7,1.96,25594000.0,
2020-04-13,2.01,2.33,2.01,2.32,21294090.0,
2020-04-14,2.4,2.57,2.4,2.52,16278520.0,
2020-04-15,2.52,2.57,2.41,2.44,6001210.0,
2020-04-16,2.4,2.4,2.2,2.32,6760910.0,
2020-04-17,2.34,2.55,2.34,2.38,4648200.0,
2020-04-20,2.38,2.69,2.35,2.69,8468080.0,
2020-04-21,2.8,2.82,2.45,2.61,12166540.0,
2020-04-22,2.58,2.78,2.4,2.59,15652030.0,
2020-04-23,2.6,2.71,2.55,2.62,8075490.0,
2020-04-24,2.6,2.6,2.42,2.45,5648290.0,
2020-04-27,2.42,2.42,2.23,2.3,7907100.0,
2020-04-28,2.33,2.45,2.27,2.28,4022590.0,
2020-04-29,2.3,2.39,2.3,2.35,2876800.0,
2020-04-30,2.38,2.44,2.35,2.36,4604210.0,
2020-05-04,2.62,2.89,2.62,2.75,63452000.0,
2020-05-05,2.78,2.9,2.53,2.65,27843210.0,
2020-05-06,2.57,2.69,2.54,2.59,10300400.0,
2020-05-07,2.59,2.59,2.46,2.47,7046210.0,
2020-05-08,2.49,2.58,2.41,2.5,6335210.0,
2020-05-11,2.5,2.56,2.31,2.42,5623790.0,
2020-05-12,2.42,2.45,2.38,2.4,2779120.0,
2020-05-13,2.38,2.42,2.32,2.34,3689640.0,
2020-05-14,2.35,2.35,2.25,2.3,3639890.0,
2020-05-15,2.3,2.48,2.27,2.43,5480090.0,
2020-05-18,2.44,2.54,2.33,2.34,5543720.0,
2020-05-19,2.43,2.43,2.28,2.31,3447290.0,
2020-05-20,2.36,2.36,2.29,2.32,1209460.0,
2020-05-21,2.3,2.35,2.29,2.35,828510.0,
2020-05-22,2.36,2.36,2.3,2.32,1062510.0,
2020-05-26,2.31,2.34,2.1,2.14,4753830.0,
2020-05-27,2.14,2.18,2.06,2.15,1944500.0,
2020-05-28,2.18,2.18,2.04,2.11,2608030.0,
2020-05-29,2.1,2.29,2.04,2.21,4125980.0,
2020-06-01,2.23,2.23,2.15,2.22,2225190.0,
2020-06-02,2.24,2.31,2.22,2.29,2858590.0,
2020-06-03,2.35,2.35,2.29,2.32,2942880.0,
2020-06-04,2.35,2.46,2.33,2.45,6561220.0,
2020-06-05,2.48,2.5,2.35,2.44,5411150.0,
2020-06-08,2.45,2.56,2.38,2.52,7183010.0,
2020-06-09,2.55,2.65,2.49,2.55,6110370.0,
2020-06-10,2.57,2.6,2.47,2.51,6242920.0,
2020-06-11,2.5,2.5,2.36,2.42,4538390.0,
2020-06-15,2.39,2.4,2.32,2.36,3238570.0,
2020-06-16,2.36,2.43,2.3,2.38,2770130.0,
2020-06-17,2.43,2.44,2.36,2.36,2970330.0,
2020-06-18,2.31,2.37,2.23,2.34,4460210.0,
2020-06-19,2.32,2.34,2.26,2.32,1740400.0,
2020-06-22,2.31,2.4,2.22,2.32,4651580.0,
2020-06-23,2.3,2.33,2.24,2.27,2410170.0,
2020-06-24,2.27,2.36,2.25,2.32,1741930.0,
2020-06-25,2.3,2.3,2.26,2.29,2493240.0,
2020-06-26,2.31,2.33,2.26,2.29,1384820.0,
2020-06-29,2.23,2.24,2.2,2.21,4265910.0,
2020-06-30,2.18,2.24,2.18,2.2,1477090.0,
2020-07-01,2.22,2.22,2.11,2.19,1735550.0,
2020-07-02,2.18,2.2,2.13,2.19,1521010.0,
2020-07-03,2.2,2.21,2.16,2.19,1282840.0,
2020-07-06,2.19,2.25,2.18,2.19,2140000.0,
2020-07-07,2.17,2.19,2.08,2.14,2477420.0,
2020-07-08,2.13,2.13,2.03,2.06,2654430.0,
2020-07-09,2.06,2.1,2.04,2.09,1369740.0,
2020-07-10,2.06,2.06,2.02,2.05,988350.0,
2020-07-13,2.05,2.05,1.95,1.97,3455710.0,
2020-07-14,1.96,1.96,1.82,1.85,2135810.0,
2020-07-15,1.85,1.93,1.85,1.91,861580.0,
2020-07-16,1.98,2.13,1.93,1.99,5164380.0,
2020-07-17,2.02,2.06,1.95,1.98,830380.0,
2020-07-20,1.98,1.98,1.9,1.98,561930.0,
2020-07-21,1.98,2.02,1.94,1.98,517160.0,
2020-07-22,1.98,2.12,1.94,2.03,2519830.0,
2020-07-23,2.03,2.07,1.85,1.88,2176730.0,
2020-07-24,1.88,1.93,1.85,1.9,481470.0,
2020-07-27,1.85,1.87,1.82,1.84,1485800.0,
2020-07-28,1.84,1.84,1.8,1.84,973270.0,
2020-07-29,1.84,1.85,1.79,1.8,904070.0,
2020-07-30,1.8,1.92,1.8,1.9,827620.0,
2020-08-03,1.82,1.85,1.8,1.8,1345480.0,
2020-08-04,,,,1.86,,517000.0
2020-08-05,,,,1.87,,238000.0
2020-08-06,,,,1.97,,1022000.0
2020-08-07,,,,1.97,,743000.0
2020-08-10,,,,1.94,,447000.0
2020-08-11,,,,2.0,,533000.0
2020-08-12,,,,1.94,,447000.0
2020-08-13,,,,1.95,,218000.0
2020-08-14,,,,1.96,,283000.0
2020-08-17,,,,1.96,,533000.0
2020-08-18,,,,1.99,,367000.0
2020-08-19,,,,1.95,,172000.0
2020-08-20,,,,1.94,,413000.0
2020-08-24,,,,1.9,,401000.0
2020-08-25,,,,1.86,,484000.0
2020-08-26,,,,1.87,,53000.0
2020-08-27,,,,1.9,,84000.0
2020-08-28,,,,1.97,,630000.0
2020-09-01,,,,2.01,,563000.0
2020-09-02,,,,2.18,,2396000.0
2020-09-03,,,,2.25,,3263000.0
2020-09-04,,,,2.18,,1185000.0
2020-09-07,,,,2.19,,510000.0
2020-09-08,,,,2.31,,1150000.0
2020-09-09,,,,2.25,,880000.0
2020-09-10,,,,2.26,,792000.0
2020-09-11,,,,2.22,,185000.0
2020-09-14,,,,2.31,,1294000.0
2020-09-15,,,,2.4,,2150000.0
2020-09-16,,,,2.35,,832000.0
2020-09-17,,,,2.24,,1540000.0
2020-09-18,,,,2.27,,801000.0
2020-09-21,,,,2.2,,687000.0
2020-09-22,,,,2.12,,921000.0
2020-09-23,,,,2.14,,451000.0
2020-09-24,,,,2.14,,307000.0
2020-09-25,,,,2.2,,529000.0
2020-09-28,,,,2.19,,485000.0
