dt,open,high,low,close,value,volume
2020-03-02,0.21899999999999997,0.221,0.21899999999999997,0.22,79190.0,
2020-03-03,0.21100000000000002,0.21100000000000002,0.21100000000000002,0.21100000000000002,2110.0,
2020-03-04,0.226,0.226,0.226,0.226,11300.0,
2020-03-05,0.228,0.228,0.21100000000000002,0.228,91020.0,
2020-03-06,0.21100000000000002,0.22,0.21100000000000002,0.22,13110.0,
2020-03-09,0.205,0.225,0.205,0.225,35050.0,
2020-03-10,0.22399999999999998,0.228,0.20199999999999999,0.225,276560.0,
2020-03-11,,,,,,
2020-03-12,0.191,0.191,0.191,0.191,13370.0,
2020-03-13,0.19,0.19,0.19,0.19,144400.0,
2020-03-16,0.2,0.209,0.2,0.209,311450.0,
2020-03-19,0.209,0.209,0.19,0.19,26030.0,
2020-03-20,0.156,0.188,0.156,0.188,36370.0,
2020-03-23,0.18,0.18,0.162,0.18,10210.0,
2020-03-24,0.17,0.187,0.17,0.17,15470.0,
2020-03-25,0.163,0.179,0.163,0.179,19050.0,
2020-03-26,0.179,0.179,0.179,0.179,64440.0,
2020-03-27,0.187,0.187,0.187,0.187,1870.0,
2020-03-30,0.185,0.185,0.185,0.185,1850.0,
2020-03-31,0.182,0.19,0.18,0.19,74880.0,
2020-04-01,0.184,0.188,0.184,0.188,20280.0,
2020-04-02,,,,,,
2020-04-03,,,,,,
2020-04-06,,,,,,
2020-04-07,0.168,0.19,0.168,0.19,172620.0,
2020-04-08,0.209,0.209,0.20800000000000002,0.20800000000000002,4170.0,
2020-04-13,0.20800000000000002,0.20800000000000002,0.19,0.20800000000000002,6060.0,
2020-04-14,0.2,0.20600000000000002,0.2,0.20600000000000002,70060.0,
2020-04-15,0.2,0.2,0.19899999999999998,0.2,77720.0,
2020-04-16,0.207,0.207,0.207,0.207,2070.0,
2020-04-17,,,,,,
2020-04-20,0.17300000000000001,0.174,0.172,0.172,74210.0,
2020-04-21,0.19,0.20600000000000002,0.19,0.195,166010.0,
2020-04-22,0.201,0.201,0.185,0.198,19240.0,
2020-04-23,0.19699999999999998,0.19699999999999998,0.17800000000000002,0.195,58660.0,
2020-04-24,0.17800000000000002,0.19,0.172,0.19,33960.0,
2020-04-27,,,,,,
2020-04-28,0.19,0.19,0.19,0.19,7600.0,
2020-04-29,0.17800000000000002,0.185,0.175,0.185,19470.0,
2020-04-30,0.18899999999999997,0.18899999999999997,0.188,0.188,11290.0,
2020-05-04,0.17600000000000002,0.187,0.17600000000000002,0.187,7150.0,
2020-05-05,0.195,0.195,0.195,0.195,1950.0,
2020-05-06,0.18899999999999997,0.19899999999999998,0.18899999999999997,0.19899999999999998,11440.0,
2020-05-07,,,,,,
2020-05-08,0.17600000000000002,0.17600000000000002,0.17600000000000002,0.17600000000000002,1760.0,
2020-05-11,0.17600000000000002,0.185,0.17600000000000002,0.185,158600.0,
2020-05-12,,,,,,
2020-05-13,,,,,,
2020-05-14,0.177,0.177,0.177,0.177,7080.0,
2020-05-15,0.177,0.177,0.177,0.177,28320.0,
2020-05-18,0.18,0.18,0.18,0.18,99000.0,
2020-05-19,,,,,,
2020-05-20,,,,,,
2020-05-21,0.177,0.177,0.177,0.177,3540.0,
2020-05-22,0.177,0.18,0.177,0.18,202100.0,
2020-05-26,0.18899999999999997,0.18899999999999997,0.177,0.177,269380.0,
2020-05-27,0.17600000000000002,0.17600000000000002,0.17600000000000002,0.17600000000000002,17600.0,
2020-05-28,0.177,0.177,0.177,0.177,1770.0,
2020-05-29,0.177,0.18,0.17600000000000002,0.17600000000000002,197860.0,
2020-06-01,0.18,0.18,0.18,0.18,1800.0,
2020-06-02,,,,,,
2020-06-03,0.18,0.18,0.18,0.18,52200.0,
2020-06-04,0.18,0.19,0.18,0.19,144730.0,
2020-06-05,0.18100000000000002,0.191,0.18100000000000002,0.191,112230.0,
2020-06-08,0.195,0.195,0.18899999999999997,0.19,146970.0,
