dt,open,high,low,close,value,volume
2020-03-02,18.1,18.4,18.08,18.1,29849902.0,
2020-03-03,18.38,18.38,18.0,18.1,57578300.0,
2020-03-04,18.1,18.1,17.96,18.08,10814444.0,
2020-03-05,18.08,18.12,18.04,18.08,61886116.0,
2020-03-06,18.08,18.1,17.98,18.1,12546898.0,
2020-03-09,17.92,17.92,16.0,17.3,48959358.0,
2020-03-10,17.2,17.2,16.52,17.1,15424900.0,
2020-03-11,16.96,17.3,16.9,17.02,14871024.0,
2020-03-12,17.0,17.0,14.0,14.34,62044038.0,
2020-03-13,13.8,15.5,10.5,15.5,124829646.0,
2020-03-16,13.7,14.3,13.1,14.3,40561188.0,
2020-03-19,13.0,13.5,12.0,12.0,70472258.0,
2020-03-20,11.04,12.98,11.04,12.34,25799588.0,
2020-03-23,12.34,12.54,12.3,12.5,18982572.0,
2020-03-24,12.5,12.98,12.48,12.7,50348152.0,
2020-03-25,13.0,13.9,12.5,12.5,62043756.0,
2020-03-26,12.7,13.2,12.6,12.6,40652222.0,
2020-03-27,13.0,13.5,12.98,13.5,69383050.0,
2020-03-30,13.48,13.48,12.48,12.8,12436700.0,
2020-03-31,12.84,13.3,12.84,12.96,13836286.0,
2020-04-01,13.1,13.1,12.84,12.84,8987814.0,
2020-04-02,12.84,12.98,12.8,12.98,1108458.0,
2020-04-03,12.98,12.98,12.7,12.7,871470.0,
2020-04-06,12.7,12.72,12.5,12.6,20074112.0,
2020-04-07,13.0,13.0,12.56,12.68,15889220.0,
2020-04-08,12.64,12.94,12.5,12.58,44481878.0,
2020-04-13,12.6,13.0,12.48,12.7,14182216.0,
2020-04-14,12.6,13.14,12.6,13.0,181622724.0,
2020-04-15,13.48,14.0,13.04,14.0,42424340.0,
2020-04-16,13.96,14.38,13.22,14.3,27044566.0,
2020-04-17,14.34,15.06,14.34,14.98,45073736.0,
2020-04-20,14.9,15.08,14.46,15.0,31716112.0,
2020-04-21,14.54,14.86,14.2,14.56,38678096.0,
2020-04-22,14.56,14.58,13.72,14.58,29852960.0,
2020-04-23,14.64,14.8,14.04,14.04,17520182.0,
2020-04-24,14.1,14.4,13.8,14.1,68737970.0,
2020-04-27,14.1,14.1,13.7,14.0,12971588.0,
2020-04-28,14.2,14.54,14.02,14.04,34476572.0,
2020-04-29,14.3,14.3,13.9,14.0,54021960.0,
2020-04-30,14.0,14.7,14.0,14.7,33643662.0,
2020-05-04,14.68,14.68,14.0,14.3,97501432.0,
2020-05-05,14.2,15.0,14.18,14.98,19078700.0,
2020-05-06,15.0,15.62,15.0,15.52,75436788.0,
2020-05-07,15.6,16.0,15.0,15.4,65629740.0,
2020-05-08,15.4,16.6,15.4,15.86,41722524.0,
2020-05-11,15.86,16.32,15.2,15.58,21479750.0,
2020-05-12,15.58,15.84,15.5,15.5,29041430.0,
2020-05-13,15.5,15.7,15.24,15.24,61286294.0,
2020-05-14,15.1,15.16,14.68,14.72,22907258.0,
2020-05-15,14.72,14.74,14.64,14.68,28613188.0,
2020-05-18,14.68,15.08,14.68,14.7,30218946.0,
2020-05-19,15.0,15.0,14.8,14.9,59559782.0,
2020-05-20,15.0,15.34,14.92,15.3,40451404.0,
2020-05-21,15.4,15.4,14.92,14.94,40391880.0,
2020-05-22,15.1,15.28,14.9,15.28,13351596.0,
2020-05-26,15.28,15.28,14.92,15.0,13787498.0,
2020-05-27,15.0,15.0,14.8,14.92,31393152.0,
2020-05-28,14.96,15.54,14.96,15.46,20255630.0,
2020-05-29,15.76,16.18,15.2,15.2,63403640.0,
2020-06-01,15.34,15.7,15.34,15.5,8334754.0,
2020-06-02,15.4,15.5,15.22,15.4,16675210.0,
2020-06-03,15.5,16.5,15.5,16.4,58331118.0,
2020-06-04,16.4,16.72,16.0,16.64,75194044.0,
2020-06-05,16.7,16.74,15.8,16.3,42618876.0,
2020-06-08,16.34,16.72,16.0,16.68,79045936.0,
2020-06-09,16.5,16.5,16.26,16.32,36057346.0,
2020-06-10,16.3,16.5,16.0,16.24,56784542.0,
2020-06-11,16.2,16.48,15.92,16.0,42386458.0,
2020-06-15,16.0,16.2,15.8,15.9,36251530.0,
2020-06-16,15.48,15.9,15.48,15.88,52764640.0,
2020-06-17,16.0,16.0,15.88,15.9,55941980.0,
2020-06-18,16.0,16.0,15.68,15.8,36930136.0,
2020-06-19,15.88,15.88,15.2,15.3,29798232.0,
2020-06-22,15.2,15.5,15.18,15.22,25643386.0,
2020-06-23,15.2,15.2,15.1,15.14,23607680.0,
2020-06-24,15.14,15.4,15.14,15.3,44143518.0,
2020-06-25,15.3,15.3,14.92,15.0,37332194.0,
2020-06-26,15.0,15.2,14.98,15.0,41380998.0,
2020-06-29,15.0,15.28,14.9,15.18,13875930.0,
2020-06-30,15.02,15.48,15.02,15.48,15061718.0,
2020-07-01,15.48,15.5,15.16,15.4,32200988.0,
2020-07-02,15.42,15.54,15.12,15.36,20999986.0,
2020-07-03,15.48,15.6,15.38,15.56,24504110.0,
2020-07-06,15.6,15.94,15.56,15.94,5366396.0,
2020-07-07,15.96,16.66,15.96,16.3,93346132.0,
2020-07-08,16.4,16.62,16.0,16.44,20673090.0,
2020-07-09,16.42,16.42,16.02,16.42,19851584.0,
2020-07-10,16.4,16.4,16.0,16.34,29242370.0,
2020-07-13,16.3,16.3,15.68,15.84,29159416.0,
2020-07-14,15.9,16.1,15.8,15.98,46722392.0,
2020-07-15,15.98,16.1,15.9,16.0,30632892.0,
2020-07-16,16.0,16.1,15.9,15.96,5510426.0,
2020-07-17,15.76,15.96,15.76,15.96,11148528.0,
2020-07-20,15.96,15.98,15.9,15.94,17774572.0,
2020-07-21,16.0,16.0,15.76,15.8,51311902.0,
2020-07-22,15.8,15.8,15.42,15.44,26415788.0,
