dt,open,high,low,close,value,volume
2020-03-02,0.53,0.54,0.52,0.53,569710.0,
2020-03-03,0.52,0.56,0.51,0.56,150270.0,
2020-03-04,0.54,0.58,0.53,0.58,333300.0,
2020-03-05,0.55,0.58,0.55,0.58,32200.0,
2020-03-06,0.54,0.57,0.52,0.57,566060.0,
2020-03-09,0.54,0.54,0.51,0.52,1310360.0,
2020-03-10,0.53,0.53,0.45,0.5,466895.0,
2020-03-11,0.52,0.52,0.48,0.48,58920.0,
2020-03-12,0.45,0.51,0.3,0.45,297400.0,
2020-03-13,0.43,0.43,0.36,0.425,379200.0,
2020-03-16,0.365,0.45,0.365,0.45,312350.0,
2020-03-19,0.4,0.435,0.375,0.435,155000.0,
2020-03-20,0.38,0.41,0.38,0.41,107300.0,
2020-03-23,0.38,0.4,0.37,0.38,90700.0,
2020-03-24,0.38,0.38,0.36,0.36,51700.0,
2020-03-25,0.37,0.395,0.37,0.39,48750.0,
2020-03-26,0.4,0.4,0.375,0.4,35000.0,
2020-03-27,0.375,0.38,0.375,0.375,109150.0,
2020-03-30,0.38,0.395,0.38,0.395,46900.0,
2020-03-31,0.375,0.39,0.37,0.39,41800.0,
2020-04-01,0.395,0.395,0.35,0.38,471000.0,
2020-04-02,0.38,0.38,0.38,0.38,114000.0,
2020-04-03,0.39,0.39,0.39,0.39,54600.0,
2020-04-06,0.39,0.39,0.39,0.39,27300.0,
2020-04-07,0.395,0.45,0.395,0.43,547550.0,
2020-04-08,0.415,0.415,0.415,0.415,120350.0,
2020-04-13,0.41,0.41,0.385,0.4,172150.0,
2020-04-14,0.4,0.42,0.4,0.42,41000.0,
2020-04-15,0.41,0.43,0.385,0.43,1290150.0,
2020-04-16,0.425,0.425,0.415,0.415,33550.0,
2020-04-17,0.43,0.48,0.425,0.45,574300.0,
2020-04-20,0.46,0.46,0.42,0.45,108000.0,
2020-04-21,0.43,0.45,0.43,0.45,8800.0,
2020-04-22,0.45,0.45,0.45,0.45,13500.0,
2020-04-23,0.45,0.45,0.4,0.43,2899800.0,
2020-04-24,0.415,0.42,0.4,0.42,628800.0,
2020-04-27,0.41,0.42,0.395,0.42,429900.0,
2020-04-28,0.42,0.42,0.41,0.41,95700.0,
2020-04-29,0.405,0.41,0.4,0.41,101400.0,
2020-04-30,0.4,0.415,0.4,0.415,137550.0,
2020-05-04,0.395,0.415,0.395,0.415,75500.0,
2020-05-05,0.41,0.415,0.41,0.41,315750.0,
2020-05-06,0.4,0.405,0.4,0.4,44100.0,
2020-05-07,0.4,0.405,0.4,0.4,244050.0,
2020-05-08,0.4,0.4,0.4,0.4,360000.0,
2020-05-11,0.4,0.41,0.4,0.41,221000.0,
2020-05-12,0.41,0.41,0.41,0.41,16400.0,
2020-05-13,0.405,0.405,0.39,0.4,35700.0,
2020-05-14,0.395,0.395,0.395,0.395,43450.0,
2020-05-15,0.395,0.395,0.385,0.385,139650.0,
2020-05-18,0.38,0.395,0.36,0.395,138400.0,
2020-05-19,0.365,0.385,0.365,0.385,26350.0,
2020-05-20,0.38,0.38,0.38,0.38,11400.0,
2020-05-21,0.385,0.385,0.385,0.385,3850.0,
2020-05-22,0.365,0.385,0.365,0.375,353150.0,
2020-05-26,0.365,0.38,0.365,0.37,367050.0,
2020-05-27,0.365,0.375,0.365,0.375,11150.0,
2020-05-28,0.37,0.37,0.37,0.37,11100.0,
2020-05-29,0.365,0.39,0.35,0.385,254550.0,
2020-06-01,0.395,0.395,0.37,0.37,74350.0,
2020-06-02,0.37,0.37,0.37,0.37,114700.0,
2020-06-03,0.38,0.39,0.365,0.38,137550.0,
2020-06-04,0.39,0.41,0.39,0.405,139850.0,
2020-06-05,0.395,0.395,0.395,0.395,15800.0,
2020-06-08,0.4,0.41,0.4,0.405,148750.0,
