dt,open,high,low,close,value,volume
2020-03-02,0.174,0.182,0.17300000000000001,0.182,62570.0,
2020-03-03,0.175,0.183,0.174,0.18,303050.0,
2020-03-04,0.174,0.179,0.16899999999999998,0.17300000000000001,1745510.0,
2020-03-05,0.17,0.17,0.165,0.16899999999999998,510540.0,
2020-03-06,0.165,0.18,0.158,0.159,3088220.0,
2020-03-09,0.156,0.156,0.131,0.132,521870.0,
2020-03-10,0.135,0.158,0.13,0.156,725780.0,
2020-03-11,0.158,0.163,0.141,0.152,371340.0,
2020-03-12,0.141,0.152,0.132,0.132,154760.0,
2020-03-13,0.131,0.146,0.125,0.146,250770.0,
2020-03-16,0.145,0.145,0.145,0.145,1450.0,
2020-03-19,0.129,0.129,0.10400000000000001,0.113,206470.0,
2020-03-20,0.141,0.141,0.114,0.133,51330.0,
2020-03-23,0.11199999999999999,0.133,0.11199999999999999,0.13,43340.0,
2020-03-24,0.13,0.13,0.121,0.13,12910.0,
2020-03-25,0.13,0.13,0.11699999999999999,0.125,66390.0,
2020-03-26,0.12,0.14,0.12,0.14,99630.0,
2020-03-27,0.138,0.139,0.124,0.133,97790.0,
2020-03-30,0.132,0.132,0.132,0.132,13200.0,
2020-03-31,0.138,0.138,0.138,0.138,23460.0,
2020-04-01,0.128,0.128,0.128,0.128,1280.0,
2020-04-02,0.12300000000000001,0.124,0.122,0.124,72570.0,
2020-04-03,0.12300000000000001,0.13,0.12,0.13,298500.0,
2020-04-06,0.13,0.13,0.13,0.13,33800.0,
2020-04-07,0.124,0.139,0.124,0.135,134530.0,
2020-04-08,0.132,0.132,0.132,0.132,55440.0,
2020-04-13,0.132,0.132,0.125,0.125,72860.0,
2020-04-14,0.125,0.133,0.12300000000000001,0.126,86600.0,
2020-04-15,0.134,0.15,0.134,0.141,1331900.0,
2020-04-16,0.141,0.141,0.13699999999999998,0.13699999999999998,40610.0,
2020-04-17,0.135,0.135,0.13,0.135,17350.0,
2020-04-20,0.132,0.13699999999999998,0.132,0.13699999999999998,22590.0,
2020-04-21,0.14,0.14,0.135,0.14,3130300.0,
2020-04-22,0.14,0.15,0.13699999999999998,0.149,362950.0,
2020-04-23,0.14300000000000002,0.15,0.14300000000000002,0.15,235630.0,
2020-04-24,0.15,0.17,0.15,0.16,2505390.0,
2020-04-27,0.16,0.16,0.152,0.159,248070.0,
2020-04-28,0.153,0.16399999999999998,0.153,0.16,63580.0,
2020-04-29,0.155,0.159,0.15,0.159,126950.0,
2020-04-30,0.145,0.163,0.14,0.162,1607180.0,
2020-05-04,0.161,0.161,0.16,0.16,52810.0,
2020-05-05,0.16,0.16,0.16,0.16,161600.0,
2020-05-06,0.159,0.159,0.159,0.159,1590.0,
2020-05-07,0.14400000000000002,0.15,0.14400000000000002,0.15,13290.0,
2020-05-08,0.146,0.155,0.14300000000000002,0.155,46520.0,
2020-05-11,0.156,0.156,0.156,0.156,1560.0,
2020-05-12,0.155,0.16,0.155,0.16,2674160.0,
2020-05-13,0.151,0.151,0.145,0.15,144360.0,
2020-05-14,0.14300000000000002,0.151,0.142,0.151,140630.0,
2020-05-15,0.142,0.15,0.141,0.15,8580.0,
2020-05-18,0.14,0.149,0.138,0.149,58220.0,
2020-05-19,0.14,0.146,0.138,0.146,46760.0,
2020-05-20,0.139,0.14800000000000002,0.138,0.14800000000000002,67000.0,
2020-05-21,0.14,0.146,0.138,0.146,30620.0,
2020-05-22,0.14400000000000002,0.14400000000000002,0.14400000000000002,0.14400000000000002,1440.0,
2020-05-26,0.142,0.142,0.142,0.142,7100.0,
2020-05-27,0.138,0.146,0.13,0.146,99260.0,
2020-05-28,0.145,0.145,0.145,0.145,1450.0,
2020-05-29,0.145,0.145,0.145,0.145,1450.0,
2020-06-01,0.14400000000000002,0.14800000000000002,0.14400000000000002,0.145,36280.0,
2020-06-02,0.147,0.147,0.147,0.147,1470.0,
2020-06-03,0.151,0.151,0.136,0.147,17570.0,
2020-06-04,0.15,0.15,0.147,0.147,192870.0,
2020-06-05,0.149,0.149,0.147,0.147,53180.0,
2020-06-08,0.145,0.146,0.145,0.145,37740.0,
2020-06-09,0.145,0.14800000000000002,0.142,0.147,84080.0,
2020-06-10,0.151,0.152,0.15,0.15,36330.0,
2020-06-11,0.152,0.152,0.14,0.149,16570.0,
2020-06-15,0.149,0.149,0.14,0.145,61060.0,
2020-06-16,0.145,0.151,0.142,0.149,55870.0,
2020-06-17,0.149,0.152,0.145,0.15,378870.0,
2020-06-18,0.146,0.15,0.141,0.149,114350.0,
2020-06-19,0.142,0.149,0.142,0.149,20080.0,
2020-06-22,0.14300000000000002,0.146,0.14,0.145,112470.0,
2020-06-23,0.145,0.145,0.138,0.14400000000000002,203110.0,
2020-06-24,0.14300000000000002,0.14300000000000002,0.138,0.14300000000000002,166280.0,
2020-06-25,0.14400000000000002,0.14400000000000002,0.14400000000000002,0.14400000000000002,1440.0,
2020-06-26,0.138,0.14400000000000002,0.135,0.14400000000000002,101630.0,
2020-06-29,0.14300000000000002,0.14300000000000002,0.14300000000000002,0.14300000000000002,94380.0,
2020-06-30,0.139,0.15,0.132,0.138,393710.0,
2020-07-01,0.132,0.13699999999999998,0.13,0.13699999999999998,338170.0,
2020-07-02,0.13699999999999998,0.139,0.13699999999999998,0.139,1167130.0,
2020-07-03,0.14,0.145,0.13699999999999998,0.13699999999999998,251240.0,
2020-07-06,0.135,0.135,0.134,0.134,97880.0,
2020-07-07,0.133,0.134,0.128,0.131,181820.0,
2020-07-08,0.129,0.134,0.128,0.131,118240.0,
2020-07-09,0.135,0.149,0.135,0.14300000000000002,425660.0,
2020-07-10,0.136,0.14800000000000002,0.136,0.146,278860.0,
2020-07-13,0.146,0.146,0.14300000000000002,0.14300000000000002,165410.0,
2020-07-14,0.133,0.15,0.133,0.145,279120.0,
2020-07-15,0.145,0.18899999999999997,0.135,0.14,3534400.0,
2020-07-16,0.139,0.14400000000000002,0.139,0.139,126680.0,
2020-07-17,0.139,0.139,0.136,0.13699999999999998,399740.0,
2020-07-20,0.13699999999999998,0.14,0.136,0.14,130690.0,
2020-07-21,0.14,0.155,0.13699999999999998,0.15,226890.0,
2020-07-22,0.151,0.151,0.14,0.14,153190.0,
